,x..i..
2007-02-14 15:00:00,96.5075
2007-02-15 15:00:00,96.5125
2007-02-16 15:00:00,96.5125
2007-02-20 15:00:00,96.5125
2007-02-21 15:00:00,96.5125
2007-02-22 15:00:00,96.5125
2007-02-23 15:00:00,96.5125
2007-02-26 15:00:00,96.515
2007-02-27 15:00:00,96.5475
2007-02-28 15:00:00,96.535
2007-03-01 15:00:00,96.5375
2007-03-02 15:00:00,96.545
2007-03-05 15:00:00,96.54
2007-03-06 15:00:00,96.535
2007-03-07 15:00:00,96.535
2007-03-08 15:00:00,96.5325
2007-03-09 15:00:00,96.5175
2007-03-12 15:00:00,96.5175
2007-03-13 15:00:00,96.5225
2007-03-14 15:00:00,96.4925
2007-03-15 15:00:00,96.4525
2007-03-16 15:00:00,96.4125
2007-03-19 15:00:00,96.3825
2007-03-20 15:00:00,96.3975
2007-03-21 15:00:00,96.4925
2007-03-22 15:00:00,96.4175
2007-03-23 15:00:00,96.3825
2007-03-26 15:00:00,96.4075
2007-03-27 15:00:00,96.3975
2007-03-28 15:00:00,96.4175
2007-03-29 15:00:00,96.3925
2007-03-30 15:00:00,96.3875
2007-04-02 15:00:00,96.3825
2007-04-03 15:00:00,96.3475
2007-04-04 15:00:00,96.3525
2007-04-05 15:00:00,96.3325
2007-04-06 15:00:00,96.2425
2007-04-09 15:00:00,96.2225
2007-04-10 15:00:00,96.2375
2007-04-11 15:00:00,96.2275
2007-04-12 15:00:00,96.2175
2007-04-13 15:00:00,96.1975
2007-04-16 15:00:00,96.2125
2007-04-17 15:00:00,96.2475
2007-04-18 15:00:00,96.2725
2007-04-19 15:00:00,96.2675
2007-04-20 15:00:00,96.2525
2007-04-23 15:00:00,96.2675
2007-04-24 15:00:00,96.2975
2007-04-25 15:00:00,96.2675
2007-04-26 15:00:00,96.2225
2007-04-27 15:00:00,96.2225
2007-04-30 15:00:00,96.2625
2007-05-01 15:00:00,96.2325
2007-05-02 15:00:00,96.2325
2007-05-03 15:00:00,96.2025
2007-05-04 15:00:00,96.2125
2007-05-07 15:00:00,96.2125
2007-05-08 15:00:00,96.2125
2007-05-09 15:00:00,96.1875
2007-05-10 15:00:00,96.2125
2007-05-11 15:00:00,96.2075
2007-05-14 15:00:00,96.1975
2007-05-15 15:00:00,96.1975
2007-05-16 15:00:00,96.2025
2007-05-17 15:00:00,96.1875
2007-05-18 15:00:00,96.1675
2007-05-21 15:00:00,96.1675
2007-05-22 15:00:00,96.1525
2007-05-23 15:00:00,96.1475
2007-05-24 15:00:00,96.1475
2007-05-25 15:00:00,96.1525
2007-05-29 15:00:00,96.1375
2007-05-30 15:00:00,96.1425
2007-05-31 15:00:00,96.1275
2007-06-01 15:00:00,96.1125
