valuationDate,sectorCategory,DENOM_CURR_CDE,spread
4/6/2006,MBS,USD,96
4/6/2006,Credit_AAA-BBB,USD,83
4/6/2006,Credit_AAA-BBB,EUR,42
4/6/2006,Credit_AAA-BBB,GBP,74
4/6/2006,Credit_AAA-A,USD,69
4/6/2006,Credit_AAA-A,EUR,35
4/6/2006,Credit_AAA-A,GBP,68
4/6/2006,Credit_AAA-AA,USD,56
4/6/2006,Credit_AAA-AA,EUR,25
4/6/2006,Credit_AAA-AA,GBP,54
4/6/2006,Credit_US CORP 1-10,USD,80
4/6/2006,Credit_glagg_crd_1_5YRS,USD,57
4/6/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/6/2006,Credit_glagg_crd_1_5YRS,GBP,44
4/6/2006,Credit_glagg_crd_1_3YRS,USD,48
4/6/2006,Credit_glagg_crd_1_3YRS,EUR,26
4/6/2006,Credit_glagg_crd_1_3YRS,GBP,35
4/6/2006,Credit_glagg _crd>5.0YRS,USD,101
4/6/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/6/2006,Credit_glagg _crd>5.0YRS,GBP,93
4/6/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/6/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/6/2006,Credit_glagg_crd_exJPY_aa_3,GBP,53
4/6/2006,Credit_glagg_crd_exJPY_exBBB,USD,69
4/6/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/6/2006,Credit_glagg_crd_exJPY_exBBB,GBP,69
4/6/2006,Credit_Global Agg (Original),USD,61
4/6/2006,Credit_Global Agg (Original),EUR,19
4/6/2006,Credit_Global Agg (Original),GBP,31
4/7/2006,Agency,USD,35
4/7/2006,Agency,EUR,22
4/7/2006,Agency,GBP,18
4/7/2006,ABS,USD,45
4/7/2006,CMBS,USD,68
4/7/2006,MBS,USD,95
4/7/2006,Credit_AAA-BBB,USD,83
4/7/2006,Credit_AAA-BBB,EUR,42
4/7/2006,Credit_AAA-BBB,GBP,73
4/7/2006,Credit_AAA-A,USD,69
4/7/2006,Credit_AAA-A,EUR,35
4/7/2006,Credit_AAA-A,GBP,68
4/7/2006,Credit_AAA-AA,USD,56
4/7/2006,Credit_AAA-AA,EUR,25
4/7/2006,Credit_AAA-AA,GBP,54
4/7/2006,Credit_US CORP 1-10,USD,80
4/7/2006,Credit_glagg_crd_1_5YRS,USD,57
4/7/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/7/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/7/2006,Credit_glagg_crd_1_3YRS,USD,48
4/7/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/7/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/7/2006,Credit_glagg _crd>5.0YRS,USD,101
4/7/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/7/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/7/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/7/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/7/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/7/2006,Credit_glagg_crd_exJPY_exBBB,USD,70
4/7/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/7/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/7/2006,Credit_Global Agg (Original),USD,61
4/7/2006,Credit_Global Agg (Original),EUR,19
4/7/2006,Credit_Global Agg (Original),GBP,31
4/10/2006,Agency,USD,35
4/10/2006,Agency,EUR,21
4/10/2006,Agency,GBP,18
4/10/2006,ABS,USD,46
4/10/2006,CMBS,USD,68
4/10/2006,MBS,USD,97
4/10/2006,Credit_AAA-BBB,USD,83
4/10/2006,Credit_AAA-BBB,EUR,42
4/10/2006,Credit_AAA-BBB,GBP,73
4/10/2006,Credit_AAA-A,USD,69
4/10/2006,Credit_AAA-A,EUR,34
4/10/2006,Credit_AAA-A,GBP,68
4/10/2006,Credit_AAA-AA,USD,56
4/10/2006,Credit_AAA-AA,EUR,25
4/10/2006,Credit_AAA-AA,GBP,53
4/10/2006,Credit_US CORP 1-10,USD,80
4/10/2006,Credit_glagg_crd_1_5YRS,USD,57
4/10/2006,Credit_glagg_crd_1_5YRS,EUR,30
4/10/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/10/2006,Credit_glagg_crd_1_3YRS,USD,48
4/10/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/10/2006,Credit_glagg_crd_1_3YRS,GBP,34
4/10/2006,Credit_glagg _crd>5.0YRS,USD,101
4/10/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/10/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/10/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/10/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/10/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/10/2006,Credit_glagg_crd_exJPY_exBBB,USD,69
4/10/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/10/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/10/2006,Credit_Global Agg (Original),USD,62
4/10/2006,Credit_Global Agg (Original),EUR,19
4/10/2006,Credit_Global Agg (Original),GBP,31
4/11/2006,Agency,USD,35
4/11/2006,Agency,EUR,22
4/11/2006,Agency,GBP,18
4/11/2006,ABS,USD,46
4/11/2006,CMBS,USD,67
4/11/2006,MBS,USD,97
4/11/2006,Credit_AAA-BBB,USD,83
4/11/2006,Credit_AAA-BBB,EUR,42
4/11/2006,Credit_AAA-BBB,GBP,73
4/11/2006,Credit_AAA-A,USD,69
4/11/2006,Credit_AAA-A,EUR,35
4/11/2006,Credit_AAA-A,GBP,68
4/11/2006,Credit_AAA-AA,USD,56
4/11/2006,Credit_AAA-AA,EUR,25
4/11/2006,Credit_AAA-AA,GBP,53
4/11/2006,Credit_US CORP 1-10,USD,79
4/11/2006,Credit_glagg_crd_1_5YRS,USD,57
4/11/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/11/2006,Credit_glagg_crd_1_5YRS,GBP,43
4/11/2006,Credit_glagg_crd_1_3YRS,USD,48
4/11/2006,Credit_glagg_crd_1_3YRS,EUR,25
