Date,fncl_4.0_1n_dv01:test,fncl_5.0_1n_dv01:test,fncl_6.0_1n_dv01:test
2007-04-27 15:00:00,5.484024641,4.891271115,2.571247976
2007-04-30 15:00:00,5.47131461,4.815852984,2.425831639
2007-05-01 15:00:00,5.462559267,4.805989684,2.416629851
2007-05-02 15:00:00,5.458658251,4.795203128,2.399650372
2007-05-03 15:00:00,5.454699641,4.816067209,2.447342527
2007-05-04 15:00:00,5.444352862,4.756826631,2.341172507
2007-05-07 15:00:00,5.436251179,4.732046752,2.303305408
2007-05-08 15:00:00,5.437230567,4.734335342,2.306510858
2007-05-09 15:00:00,5.442414093,4.778681898,2.386242799
2007-05-10 15:00:00,5.442827128,4.770270704,2.36906536
2007-05-11 15:00:00,5.450997586,4.80736123,2.433966648
2007-05-14 15:00:00,5.45461727,4.837282047,2.492705596
2007-05-15 15:00:00,5.460689414,4.86745926,2.551210067
2007-05-16 15:00:00,5.461462652,4.864165396,2.542623598
2007-05-17 15:00:00,5.472313499,4.923904301,2.667103829
2007-05-18 15:00:00,5.487546529,4.986161263,2.801863978
2007-05-21 15:00:00,5.483165351,4.971533808,2.770605611
2007-05-22 15:00:00,5.494623629,5.020744097,2.884798736
2007-05-23 15:00:00,5.507465541,5.064515403,2.987744614
2007-05-24 15:00:00,5.503448226,5.063728221,2.994237804
2007-05-25 15:00:00,5.50432498,5.07108365,3.015162042
2007-05-29 15:00:00,5.506017562,5.09080309,3.074239225
2007-05-30 15:00:00,5.501589139,5.081523141,3.054666497
2007-05-31 15:00:00,5.494945049,5.078782616,3.061518507
2007-06-01 15:00:00,5.50610976,5.132845625,3.217474372
2007-06-04 15:00:00,5.495274386,5.106251681,3.152604872
2007-06-05 15:00:00,5.510842905,5.169904999,3.341613387
2007-06-06 15:00:00,5.525765908,5.199238238,3.411519487
2007-06-07 15:00:00,5.574877028,5.349947391,3.918217459
2007-06-08 15:00:00,5.58726572,5.375970916,4.001697627
2007-06-11 15:00:00,5.595156768,5.388318533,4.033230781
2007-06-12 15:00:00,5.631875908,5.476217533,4.367548251
2007-06-13 15:00:00,5.598123718,5.422385339,4.21249575
2007-06-14 15:00:00,5.597509626,5.418266909,4.191250077
2007-06-15 15:00:00,5.5897758,5.383670306,4.032113053
2007-06-18 15:00:00,5.584902491,5.369785319,3.979064797
2007-06-19 15:00:00,5.578307407,5.33681755,3.837700465
2007-06-20 15:00:00,5.593106074,5.38446259,4.021504655
2007-06-21 15:00:00,5.61740701,5.435551728,4.195025454
2007-06-22 15:00:00,5.625218878,5.439575696,4.180527738
2007-06-25 15:00:00,5.616308238,5.410005129,4.056197917
2007-06-26 15:00:00,5.619480967,5.423004191,4.113479754
2007-06-27 15:00:00,5.611994319,5.405813899,4.052775098
2007-06-28 15:00:00,5.605682838,5.410237833,4.106124268
2007-06-29 15:00:00,5.599233125,5.381801713,3.980347395
2007-07-02 15:00:00,5.59102938,5.356794815,3.885873309
2007-07-03 15:00:00,5.59913485,5.386560221,4.006070838
2007-07-05 15:00:00,5.614135567,5.436191296,4.214814662
2007-07-06 15:00:00,5.632162379,5.474023682,4.352285177
2007-07-09 15:00:00,5.620870599,5.450585187,4.266913995
2007-07-10 15:00:00,5.616953926,5.420237354,4.109732455
2007-07-11 15:00:00,5.630868144,5.450718159,4.217883063
2007-07-12 15:00:00,5.625137038,5.450788641,4.24667168
2007-07-13 15:00:00,5.618807213,5.439919117,4.213736476
2007-07-16 15:00:00,5.614612744,5.42269622,4.134526766
2007-07-17 15:00:00,5.618960889,5.441537421,4.222511881
2007-07-18 15:00:00,5.617139993,5.420606246,4.110932435
2007-07-19 15:00:00,5.619862541,5.432159254,4.163557774
2007-07-20 15:00:00,5.616663678,5.41143329,4.062388214
2007-07-23 15:00:00,5.612309816,5.412442905,4.087772553
2007-07-24 15:00:00,5.61889169,5.421851657,4.109768284
2007-07-25 15:00:00,5.619951217,5.420946787,4.099826438
2007-07-26 15:00:00,5.64003102,5.42718572,4.043312833
2007-07-27 15:00:00,5.661485241,5.460536293,4.128524206
2007-07-30 15:00:00,5.661844969,5.471464737,4.1883244
2007-07-31 15:00:00,5.645424813,5.438863089,4.082404213
2007-08-01 15:00:00,5.646536944,5.429268733,4.025886372
2007-08-02 15:00:00,5.629110755,5.389661098,3.895381347
2007-08-03 15:00:00,5.645053918,5.383967122,3.805108438
2007-08-06 15:00:00,5.645123826,5.392180499,3.844085803
2007-08-07 15:00:00,5.625354422,5.354969608,3.743425104
2007-08-08 15:00:00,5.62801875,5.386570592,3.884406796
2007-08-09 15:00:00,5.661387761,5.427402522,3.953155509
2007-08-10 15:00:00,5.663731683,5.435495284,3.984766561
2007-08-13 15:00:00,5.666458745,5.446321488,4.029538248
2007-08-14 15:00:00,5.671775694,5.454967282,4.052174928
2007-08-15 15:00:00,5.690289846,5.495657832,4.191306792
2007-08-16 15:00:00,5.720574829,5.513769278,4.15237624
2007-08-17 15:00:00,5.725077879,5.507804679,4.100085018
2007-08-20 15:00:00,5.714552508,5.47742332,3.987121293
2007-08-21 15:00:00,5.698501091,5.428954068,3.815004731
2007-08-22 15:00:00,5.653655426,5.364355391,3.684184716
2007-08-23 15:00:00,5.625589357,5.313948729,3.562709346
2007-08-24 15:00:00,5.581409501,5.219698387,3.326346612
2007-08-27 15:00:00,5.591556523,5.215068871,3.281620835
2007-08-28 15:00:00,5.618457971,5.24565633,3.318735194
2007-08-29 15:00:00,5.621146813,5.27331816,3.414088028
2007-08-30 15:00:00,5.619904146,5.264854862,3.385553593
2007-08-31 15:00:00,5.602143636,5.263497445,3.432529224
2007-09-04 15:00:00,5.604686756,5.277357345,3.479601975
2007-09-05 15:00:00,5.608825946,5.216523336,3.241207611
2007-09-06 15:00:00,5.59669888,5.199927611,3.215157404
2007-09-07 15:00:00,5.592608186,5.060884849,2.809222346
2007-09-10 15:00:00,5.573226437,4.992418647,2.671700219
2007-09-11 15:00:00,5.560002754,5.029120583,2.784233645
2007-09-12 15:00:00,5.58087953,5.12507042,3.0117094
2007-09-13 15:00:00,5.600623458,5.193801769,3.184555455
2007-09-14 15:00:00,5.612556209,5.200855162,3.178713881
2007-09-17 15:00:00,5.608631919,5.193831988,3.165034745
2007-09-18 15:00:00,5.65140735,5.196317987,3.074457527
2007-09-19 15:00:00,5.667752539,5.233858478,3.15457261
2007-09-20 15:00:00,5.712072118,5.419917415,3.725240384
2007-09-21 15:00:00,5.708077199,5.406200467,3.679285962
2007-09-24 15:00:00,5.703561274,5.41038442,3.712936634
2007-09-25 15:00:00,5.707538197,5.414212012,3.71593025
2007-09-26 15:00:00,5.719635188,5.439183248,3.784478214
2007-09-27 15:00:00,5.707599833,5.388811362,3.607597357
2007-09-28 15:00:00,5.693938909,5.384363947,3.633607907
2007-10-01 15:00:00,5.661311844,5.316844414,3.463077982
2007-10-02 15:00:00,5.65601826,5.293873933,3.391245087
2007-10-03 15:00:00,5.642159784,5.265922857,3.327364645
2007-10-04 15:00:00,5.636921837,5.241971419,3.256784462
2007-10-05 15:00:00,5.65659244,5.339565712,3.568544748
2007-10-09 15:00:00,5.64446331,5.318220837,3.51993975
2007-10-10 15:00:00,5.635343024,5.304081536,3.491573819
2007-10-11 15:00:00,5.654164033,5.324369737,3.514432281
2007-10-12 15:00:00,5.644340602,5.315376201,3.508881296
2007-10-15 15:00:00,5.656467155,5.33570948,3.55309783
2007-10-16 15:00:00,5.675942727,5.364751837,3.610419941
2007-10-17 15:00:00,5.672777122,5.316187451,3.427015648
2007-10-18 15:00:00,5.677193462,5.292221018,3.327194113
2007-10-19 15:00:00,5.672673093,5.236007264,3.150028647
2007-10-22 15:00:00,5.666460166,5.223680249,3.125405813
2007-10-23 15:00:00,5.670407073,5.218765074,3.101343556
2007-10-24 15:00:00,5.669154726,5.148742224,2.903038723
2007-10-25 15:00:00,5.680607085,5.183935714,2.977792257
2007-10-26 15:00:00,5.699065208,5.258951253,3.16197373
2007-10-29 15:00:00,5.675706591,5.204401996,3.046673042
2007-10-30 15:00:00,5.677023924,5.209553431,3.059165499
2007-10-31 15:00:00,5.676039677,5.266749652,3.242291202
2007-11-01 15:00:00,5.666691079,5.203211638,3.06223541
2007-11-02 15:00:00,5.693857264,5.226547618,3.074054909
2007-11-05 15:00:00,5.699522266,5.303230062,3.307247115
2007-11-06 15:00:00,5.720794369,5.375745814,3.514275058
2007-11-07 15:00:00,5.744753954,5.423298388,3.630337268
2007-11-08 15:00:00,5.776089481,5.466163787,3.707037557
2007-11-09 15:00:00,5.753435621,5.398960685,3.507239184
2007-11-13 15:00:00,5.739865545,5.387969537,3.504946133
2007-11-14 15:00:00,5.726886489,5.352585614,3.409582827
2007-11-15 15:00:00,5.742777402,5.332175146,3.296330005
2007-11-16 15:00:00,5.745360032,5.358792464,3.381818556
2007-11-19 15:00:00,5.742878812,5.331993027,3.295462748
2007-11-20 15:00:00,5.757379761,5.401254653,3.504480845
2007-11-21 15:00:00,5.785635193,5.402241424,3.428821968
2007-11-23 15:00:00,5.745037386,5.278729654,3.120908907
2007-11-26 15:00:00,5.68617551,5.012743546,2.559839914
2007-11-27 15:00:00,5.706455566,5.168448077,2.887800865
2007-11-28 15:00:00,5.699953461,5.124008314,2.787239794
2007-11-29 15:00:00,5.681693965,5.004845591,2.549363254
2007-11-30 15:00:00,5.667074117,4.902814157,2.373858719
2007-12-03 15:00:00,5.669235362,4.856683429,2.294416061
2007-12-04 15:00:00,5.674333031,4.869917374,2.311524405
2007-12-05 15:00:00,5.68418808,4.899702281,2.352229597
2007-12-06 15:00:00,5.706618282,5.061805303,2.635859966
2007-12-07 15:00:00,5.749874584,5.303717028,3.186912175
2007-12-10 15:00:00,5.754787063,5.342413947,3.300885
2007-12-11 15:00:00,5.720604223,5.134718933,2.780317776
2007-12-12 15:00:00,5.740590605,5.213210558,2.94430276
2007-12-13 15:00:00,5.746381802,5.285225535,3.137628687
2007-12-14 15:00:00,5.758168488,5.367553748,3.3788134
2007-12-17 15:00:00,5.757913378,5.357490291,3.344360568
2007-12-18 15:00:00,5.734392616,5.220196704,2.974660468
2007-12-19 15:00:00,5.732390715,5.154466877,2.809114949
