ticker,tenor,index_series ,index_version,strike,annexDate,effDate,matDate,startDate,endDate
cdx-na-ig-tmt,10y,2,1,0.008,2004-07-06,2004-03-23,2014-09-20
cdx-na-ig-tmt,10y,2,2,0.008,2006-08-14,2004-03-23,2014-09-20
cdx-na-ig-tmt,10y,3,1,0.007,2004-09-20,2004-09-21,2015-03-20
cdx-na-ig-tmt,10y,4,1,0.0065,2005-03-20,2005-03-21,2015-06-20
cdx-na-ig-tmt,10y,6,1,0.0075,2006-03-20,2006-03-21,2016-06-20
cdx-na-ig-tmt,10y,7,1,0.008,2006-09-20,2006-09-21,2016-12-20
itraxx-eur,10y,1,1,0.006,2004-06-24,2004-06-22,2014-09-20
itraxx-eur,10y,2,1,0.005,2004-09-17,2004-09-20,2015-03-20
itraxx-eur,10y,3,1,0.0055,2005-03-20,2005-03-21,2015-06-20
itraxx-eur,10y,4,1,0.0055,2005-09-20,2005-09-20,2015-12-20
itraxx-eur,10y,5,1,0.006,2006-03-17,2006-03-20,2016-06-20
itraxx-eur,10y,6,1,0.005,2006-09-15,2006-09-20,2016-12-20
itraxx-eur,10y,7,1,0.005,2007-03-16,2007-03-20,2017-06-20
itraxx-eur,10y,8,1,0.007,2007-09-17,2007-09-20,2017-12-20
itraxx-eur-hvol,10y,1,1,0.009,2004-06-24,2004-06-22,2014-09-20
itraxx-eur-hvol,10y,2,1,0.0075,2004-09-17,2004-09-20,2015-03-20
itraxx-eur-hvol,10y,3,1,0.0085,2005-03-20,2005-03-21,2015-06-20
itraxx-eur-hvol,10y,4,1,0.01,2005-09-20,2005-09-20,2015-12-20
itraxx-eur-hvol,10y,5,1,0.01,2006-03-17,2006-03-20,2016-06-20
itraxx-eur-hvol,10y,6,1,0.0085,2006-09-15,2006-09-20,2016-12-20
itraxx-eur-hvol,10y,7,1,0.0085,2007-03-16,2007-03-20,2017-06-20
itraxx-eur-hvol,10y,8,1,0.01,2007-09-17,2007-09-20,2017-12-20
itraxx-eur-subfin,10y,1,1,0.006,2004-06-24,2004-06-22,2014-09-20
itraxx-eur-subfin,10y,2,1,0.005,2004-09-17,2004-09-20,2015-03-20
itraxx-eur-subfin,10y,2,2,0.005,2004-11-16,2004-09-20,2015-03-20
itraxx-eur-subfin,10y,3,1,0.0055,2005-03-20,2005-03-21,2015-06-20
itraxx-eur-subfin,10y,4,1,0.0055,2005-09-20,2005-09-20,2015-12-20
itraxx-eur-subfin,10y,5,1,0.0045,2006-03-17,2006-03-20,2016-06-20
itraxx-eur-subfin,10y,6,1,0.003,2006-09-15,2006-09-20,2016-12-20
itraxx-eur-subfin,10y,7,1,0.003,2007-03-16,2007-03-20,2017-06-20
itraxx-eur-subfin,10y,8,1,0.009,2007-09-17,2007-09-20,2017-12-20
cdx-na-ig,1y,5,1,0.001,2005-09-20,2005-09-21,2006-12-20
cdx-na-ig,1y,6,1,0.001,2006-03-20,2006-03-21,2007-06-20
cdx-na-ig,1y,7,1,0.001,2006-09-20,2006-09-21,2007-12-20
cdx-na-ig-cons,1y,8,1,0.001,2007-03-20,2007-03-21,2008-06-20
cdx-na-ig-energy,1y,8,1,0.001,2007-03-20,2007-03-21,2008-06-20
cdx-na-ig-fin,1y,8,1,0.001,2007-03-20,2007-03-21,2008-06-20
cdx-na-ig-hvol,1y,5,1,0.0025,2005-09-20,2005-09-21,2006-12-20
cdx-na-ig-hvol,1y,6,1,0.002,2006-03-20,2006-03-21,2007-06-20
cdx-na-ig-hvol,1y,7,1,0.002,2006-09-20,2006-09-21,2007-12-20
cdx-na-ig-indu,1y,8,1,0.001,2007-03-20,2007-03-21,2008-06-20
cdx-na-ig-tmt,1y,8,1,0.001,2007-03-20,2007-03-21,2008-06-20
cdx-na-ig,2y,3,1,0.0025,2004-09-20,2004-09-21,2007-03-20
cdx-na-ig,2y,3,2,0.0025,2005-10-10,2004-09-21,2007-03-20
cdx-na-ig,2y,4,1,0.0015,2005-03-20,2005-03-21,2007-06-20
