,ACE,AET,AL,AA,ALTEL,MO,AEP,AXP,AIG,AMGN,APC,ARW,AZO,BAX,BA-CapCorp,BMY,BNI,CPB,COF-Bank,CAH,CCL,CAT,CBSCOR,CTX,CTL,CI,CIT,CCU,CMCSA,CSC,CAG,COP,CEG,CCR-HomeLoans,CSX,CVSCAR,DE,DVN,D,DUKECO,DD,EMN,EMBRQ,EXPD,FHLMC,FNMA,FD-MAY,FE,GE-CapCorp,GIS,GR,HAL,HET,HPQ,HON,IACI,IR-NJ,IBM,AIG,IP,JNY,KFT,LEN,LTD,LMT,LTR,MAR,MMC,MBI-InsCorp,MCD,MCK,MET,MOT,NWL,NWS-AmInc,JWN,NSC,NOC,OLN,OMC,PGN,PHM,DNY,RSH,RTN,GM-ResCLLC,ROH,TSG,SWY,SLE,SRE,SPG-LP,LUV,HOT,TGT,TIN,TXT-FINCORP,ALL,CB,DOW,GPS,HIG,KR,SHW,DIS,TW,TOL,RIG,UNP,VLOC,VRZN,WMT,WM,WFC,WY,WHR,WYE,XL
2002-10-15,0.494660818,0.388637331,1.402563552,0.944280931,1.417763421,1.275123137,-0.621963144,0.514971463,0.827824423,1.719207534,1.247237445,-0.352792372,1.271034964,1.224465842,0.707490659,1.167362656,1.303418559,1.718871355,-0.452025438,1.718740202,1.366139436,0.698145927,NA,0.312158121,0.538336285,0.548554934,-0.027607581,0.513280829,-0.692610247,0.435825696,2.072300511,1.267086813,0.496603477,0.414261848,0.906812732,1.625590896,0.970761941,1.111941432,0.226997387,0.056224486,1.419230497,1.460323884,NA,NA,0.99854456,12.80115715,0.493486133,-0.242189946,0.764747389,1.904260224,0.351795966,0.076901783,1.174770814,0.627909275,0.578250097,0.236768639,0.894295902,1.209577031,0.827824423,1.087203034,1.256345665,1.749927853,0.668522467,1.13214538,1.088641426,0.718410837,0.841832604,1.586512008,0.669092954,1.200764941,1.063329821,0.695758282,-0.167395242,1.735723881,NA,0.599672614,0.74376431,0.86266516,1.29655617,0.192648109,0.539885285,0.560838927,1.986655245,0.596053476,0.563663272,-0.283749699,1.258305362,0.420939412,0.944438272,2.313566902,0.277979327,1.605774118,0.576306462,-0.061754095,0.775894413,0.680508349,1.073562006,1.542359519,1.051668079,0.855225852,-0.29264826,10.97740835,0.920402622,0.924103829,0.833176332,0.075765429,0.20308999,0.477932248,1.449213761,-0.111590121,0.638215007,2.207375227,0.606830404,1.39652443,0.491352767,0.754910952,1.226594827,0.755380313
2002-10-16,0.49679964,0.358402622,1.236087353,0.906455159,1.352098559,1.179726858,-0.713534019,0.424650555,0.781093658,1.773680584,1.224656329,-0.399652883,1.228201538,1.169992646,0.606935747,1.166560397,1.146924124,1.72423426,-0.899945405,1.737906255,1.354799684,0.822997659,NA,0.260547312,0.548076188,0.514580007,-0.044555414,0.451875892,-0.7583732,0.382677972,2.048930601,1.279383459,0.39482079,0.433959679,0.755971934,1.548086366,0.937756622,1.104548834,0.37504303,-0.02780261,1.389800739,1.492238159,NA,NA,0.968609976,1.130000575,0.44792334,-0.402021196,0.701022798,1.874871463,0.324487613,0.071048942,1.047867903,0.581841525,0.608573006,0.107521623,0.805485112,0.972910168,0.781093658,1.080718605,1.169001431,1.699928731,0.597532882,1.089701284,1.11222669,0.736467052,0.737313378,1.484574532,0.380865736,1.233749404,1.026403968,0.669795604,-0.661687593,1.604011784,NA,0.306395868,0.609613045,0.872163781,1.192565939,0.16372768,0.471942835,0.494598651,1.884108913,0.569466698,0.559782808,-0.469694804,1.221356882,0.365660246,0.884999405,2.371708792,0.234724171,1.592439343,0.512158125,-0.087370893,0.734827926,0.738553799,0.720059417,1.502521739,1.047728216,0.818931015,-0.326486313,0.68766235,0.920034992,0.894624072,0.750064738,0.000241738,0.140647569,0.419046288,1.354449743,-0.090887287,0.617083357,2.251364205,0.618476185,1.406250819,0.445676981,0.61173254,1.241211924,0.809098641
