ivydb_ticker,bbrg_proxy_index_ticker,bbrg_proxy_tri_ticker,underlying_index
XLE,S5ENRS,SPTRENRS,IXE
XLF,S5FINL,SPTRFINL,IXM
XLV,S5HLTH,SPTRHLTH,IXV
XLY,S5COND,SPTRCOND,IXY
XLK,S5INFT,SPTRINFT,IXT
XLP,S5CONS,SPTRCONS,IXR
XLB,S5MATR,SPTRMATR,IXB
XLI,S5INDU,SPTRINDU,IXI
XLU,S5UTIL,SPTRUTIL,IXU
