Date,fncl_4.5_1n_libor_oas:jpmorgan,fncl_5.0_1n_libor_oas:jpmorgan,fncl_5.5_1n_libor_oas:jpmorgan,fncl_6.0_1n_libor_oas:jpmorgan,fncl_6.5_1n_libor_oas:jpmorgan,fncl_7.0_1n_libor_oas:jpmorgan,fncl_7.5_1n_libor_oas:jpmorgan,fncl_8.0_1n_libor_oas:jpmorgan,fncl_8.5_1n_libor_oas:jpmorgan
2006-04-03 15:00:00,3.6,-2.9,-6,-13.8,-4.5,-0.1,-1.6,-31.8,-40.2
2006-04-04 15:00:00,2.8,-3.5,-5.7,-12.8,-4.9,-0.4,0.1,-30.3,-38.7
2006-04-05 15:00:00,1,-4.9,-6.6,-13.5,-4.8,0.8,2.1,-28.9,-36.9
2006-04-06 15:00:00,0.3,-5.7,-7.7,-14.4,-5.6,0.1,-0.4,-30.7,-39
2006-04-07 15:00:00,2.3,-3.6,-5.7,-12.5,-4.5,-1.7,-2.7,-32.1,-41.7
2006-04-10 15:00:00,3.7,-2.1,-4.6,-11.6,-4.7,0.5,-2.2,-31.7,-41.4
2006-04-11 15:00:00,4.5,-1.2,-3.9,-11.5,-4.4,0.9,-0.5,-30.5,-40.1
2006-04-12 15:00:00,4.4,-1.7,-4.8,-12.5,-5,0.9,-3.1,-32.4,-42.2
2006-04-13 15:00:00,4.4,-1.2,-5,-13,-5.4,-2.6,-6.1,-34.2,-44.1
2006-04-14 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-04-17 15:00:00,4.7,-0.6,-4.1,-11.5,-2.4,1.6,-2.7,-31.5,-41.5
2006-04-18 15:00:00,2.4,-2.4,-5.5,-11.9,-0.3,4.7,1.3,-28.1,-37.7
2006-04-19 15:00:00,1.5,-3.2,-5.9,-11.5,-0.4,4.7,14.4,-29,-38.9
2006-04-20 15:00:00,1.9,-3,-5.9,-11.2,-0.9,4,13.2,-30,-40.1
2006-04-21 15:00:00,0.3,-4.2,-6.3,-11.3,-0.6,3.4,13.4,-30.9,-41.1
2006-04-24 15:00:00,1,-3.5,-5.4,-10.8,-0.1,4.1,18.1,-29.9,-40
2006-04-25 15:00:00,1.6,-3.1,-5.1,-11.3,-1.6,2.3,15.9,-29.9,-37.8
2006-04-26 15:00:00,2.7,-2.2,-4.6,-11,-2.3,1.4,14,-31.2,-39.3
2006-04-27 15:00:00,1.9,-2.8,-5.1,-10.6,-2.2,2,18.4,-27.4,-35.2
2006-04-28 15:00:00,1.4,-3.3,-5.7,-11.2,-1.8,3.7,20.5,-25.9,-33.7
2006-05-01 15:00:00,2.8,-1.9,-4.5,-9.2,-5.7,5.2,16.5,-28,-36.5
2006-05-02 15:00:00,3,-1.3,-3.8,-8.2,-3.7,2.6,17.1,-27.7,-36.1
2006-05-03 15:00:00,2.1,-2.4,-4.6,-8.5,-3.7,-0.4,14.5,-29,-37.4
2006-05-04 15:00:00,0.3,-3.7,-5.7,-9.4,-4.2,-1.7,13.1,-30.2,-38.7
2006-05-05 15:00:00,-0.1,-3.8,-5.9,-10.7,-4.2,-2.1,15.5,-28.9,-37.2
2006-05-08 15:00:00,1.9,-2.6,-5.2,-10.3,-3.1,0.7,12.6,-30.8,-38.6
2006-05-09 15:00:00,2.1,-2.7,-5,-10.1,-2.5,1,21.1,-29.3,-37
2006-05-10 15:00:00,2,-2.6,-5,-10.3,-2.3,0.4,20.5,-29.8,-37.6
2006-05-11 15:00:00,3.3,-1.6,-4.6,-9.7,-2.5,1.1,20,-29.3,-37.1
2006-05-12 15:00:00,4.4,-0.7,-4.1,-9.2,-3.4,0.5,20.1,-25.1,-37.3
2006-05-15 15:00:00,5.1,0.1,-3.2,-8.6,-3,1.4,22.3,-23.5,-35.6
2006-05-16 15:00:00,3.6,-0.7,-3.8,-8.9,-2.4,1,25.6,-16.7,-33.4
2006-05-17 15:00:00,2.9,-1.1,-4,-8.9,-3.7,0.7,22.1,-19.2,-35.9
2006-05-18 15:00:00,2.1,-1.4,-3.9,-9,-2.5,1.7,25.8,-16.8,-33.4
2006-05-19 15:00:00,2.1,-1.3,-3.9,-9,-2.4,1.8,26.5,-15.9,-32.4
2006-05-22 15:00:00,1.3,-1.9,-4.5,-9.4,-2.4,2.1,27,-15.3,-31.6
2006-05-23 15:00:00,2.3,-1.3,-3.9,-8.5,-1.8,3.6,26,-8.9,-30.1
2006-05-24 15:00:00,1.9,-1.2,-3.4,-7.8,-0.5,5.1,27,-2.4,-25.7
2006-05-25 15:00:00,1.8,-1,-3.7,-8.2,-1.5,3.8,25.8,-1.8,-25.1
2006-05-26 15:00:00,0.8,-1.7,-3.9,-8.3,-0.5,4.9,27.7,-0.3,-23.8
2006-05-30 15:00:00,1.1,-1.5,-3.8,-8,-0.7,4.6,25.2,-2.2,-25.7
2006-05-31 15:00:00,1.1,-1.8,-4.2,-8.1,-1.1,3.6,21.6,-5.4,-29
2006-06-01 15:00:00,-1.9,-3.9,-4.5,-7,-0.6,-1,24.6,-6.9,-25.6
2006-06-02 15:00:00,-5.8,-6.7,-5.8,-7.3,1.3,1.5,29.3,-0.5,-19.1
2006-06-05 15:00:00,-4.6,-6.4,-6.7,-9.1,-0.6,-0.4,25.4,-4.3,-23.2
2006-06-06 15:00:00,-3.3,-5,-5.6,-8.3,-0.5,0.1,25.7,-4.7,-23.6
2006-06-07 15:00:00,-2.4,-4.2,-5,-7.7,-0.3,0.6,26.1,-3.3,-22.4
2006-06-08 15:00:00,-2.1,-3.8,-4.3,-7.3,0.9,0.9,26.7,-2.4,-20.5
2006-06-09 15:00:00,-3,-4.6,-4.6,-7.6,2.3,1.2,26.9,-2.5,-20.7
2006-06-12 15:00:00,-1.9,-3.4,-3.6,-6.3,3.9,2.4,26.9,-2.1,-20.4
2006-06-13 15:00:00,-2.1,-3.4,-3.2,-5.7,5.3,4.3,28.4,-1.2,-19.4
2006-06-14 15:00:00,1.1,-0.8,-3.6,-5.6,3.5,1.3,23.8,3.2,-15.3
2006-06-15 15:00:00,1.1,-0.8,-3.5,-5.2,1.8,-0.2,20.4,0.5,-17.9
2006-06-16 15:00:00,0.9,-1.4,-4.6,-6.5,1,-1.1,19.2,1.2,-17.2
2006-06-19 15:00:00,0.7,-1.6,-5.2,-7.5,-0.3,-2.2,17.8,0.2,-17.9
2006-06-20 15:00:00,2.9,0.7,-3.7,-6.1,1.3,-0.6,19.7,1.3,-17
2006-06-21 15:00:00,2.7,0.7,-3.7,-6.1,1.8,-0.4,19.5,1.2,-17.1
2006-06-22 15:00:00,3.7,1.7,-3,-5.2,1.7,-2.2,16.4,-0.9,-19.1
2006-06-23 15:00:00,5.1,2.9,-2.4,-4.4,2.1,-3.6,15,-0.1,-18.9
2006-06-26 15:00:00,6.9,4.4,-0.9,-2.3,3.5,-3.6,14.9,0.1,-18.7
2006-06-27 15:00:00,4.6,2.7,-2.1,-3.1,2.9,-3.2,16.8,1.2,-17.9
2006-06-28 15:00:00,4.9,1.9,-3.2,-4.4,0.4,-6.9,14.1,-0.9,-20
2006-06-29 15:00:00,3.9,1.5,-3.3,-4.8,1.1,-5.1,17.5,2.7,-16.5
2006-06-30 15:00:00,2.8,0.7,-3.8,-5.4,1.6,-3.4,20,5.2,-14.1
2006-07-03 15:00:00,2.7,-0.4,-3.9,-4.6,-0.5,-2.5,19.8,5.5,-14.8
2006-07-05 15:00:00,4.7,0.7,-3.3,-3.9,-1.4,-3.6,17.2,1.3,-18.8
2006-07-06 15:00:00,3.3,0.1,-3.9,-4.5,-0.9,-1.9,18.6,2,-17.2
2006-07-07 15:00:00,2.2,-0.7,-4.4,-5.6,-1.1,-1.7,20,4.3,-15.1
2006-07-10 15:00:00,2.7,-0.1,-4,-5.2,-0.9,-0.6,26.5,3.1,-15.6
2006-07-11 15:00:00,4.1,1,-3.3,-4.8,-0.3,0.2,28.6,4.6,-14.2
2006-07-12 15:00:00,5,1.7,-3.1,-4.9,-0.2,0.2,28.6,4.4,-14.4
2006-07-13 15:00:00,4.8,1.7,-2.9,-4.3,0.3,1.8,30.9,6.7,-11.9
2006-07-14 15:00:00,4.2,1.6,-2.9,-4.2,0.8,2.4,32.2,8.2,-10.4
2006-07-17 15:00:00,4.4,1.8,-3,-5,0.1,1.4,31,7,-11.6
2006-07-18 15:00:00,4.6,2.1,-3,-5.9,-1.9,-0.8,28.8,6,-16
2006-07-19 15:00:00,2.3,0.2,-4.4,-6.5,-0.9,1.4,33.1,10.8,-11.4
2006-07-20 15:00:00,2,0.1,-4.5,-6.9,-1.2,2.2,35.7,13.9,-8.2
2006-07-21 15:00:00,4.3,1.5,-4.3,-7.2,-1.8,1.8,34.8,13.2,-9
2006-07-24 15:00:00,5,2.2,-3.4,-6.5,-1.4,2.7,35,13.1,-9.2
2006-07-25 15:00:00,4.4,2,-3.4,-6.4,-1.1,1.5,34.1,12.6,-9.8
2006-07-26 15:00:00,2.4,-3.9,-4.7,-7.6,-1.9,1.6,35.6,14.6,-7.7
2006-07-27 15:00:00,2,-4.3,-5.1,-8,-2.4,0.3,35.9,19.7,-7.3
2006-07-28 15:00:00,-1,-7.1,-7.6,-10.6,-3.6,0.2,38.6,22.7,-4.3
2006-07-31 15:00:00,-1.2,-7,-7.5,-10.6,-3.3,0.1,39.4,23.2,-3.7
2006-08-01 15:00:00,-1.6,-7.7,-7.9,-9.8,-2,2.1,37.4,23,-4.2
2006-08-02 15:00:00,-3,-8.7,-8.6,-9.9,-1.5,2.7,38.1,23.2,-4.1
2006-08-03 15:00:00,-3.5,-8.8,-8.6,-9.6,-0.8,3.2,37.3,22.1,-5.3
2006-08-04 15:00:00,-3,-8.2,-8.4,-9.8,0.7,6.8,42.5,26.5,-1.1
2006-08-07 15:00:00,0.4,-5.4,-6.5,-8.4,1.1,8.2,45.4,28,-2.3
2006-08-08 15:00:00,-0.3,-5.6,-6.2,-7.7,1.7,10.4,49.9,30.2,-0.3
2006-08-09 15:00:00,0.1,-5.5,-6.4,-8.3,0.3,10,49.1,30,0.7
2006-08-10 15:00:00,0.1,-6,-7.1,-9.2,-0.8,10,48.1,29.1,0.1
2006-08-11 15:00:00,0.8,-5.7,-6.9,-9.2,-1.3,9.2,47.4,29.4,-2.3
2006-08-14 15:00:00,2.4,-4.3,-5.8,-8.9,-1.8,8.2,45.3,29.2,-4.9
2006-08-15 15:00:00,0.8,-5.7,-7.3,-10.5,-2.1,9,50.2,32.9,-1.5
2006-08-16 15:00:00,-1.2,-7.3,-8.4,-11.5,-1.5,10.2,53.8,36.4,2
2006-08-17 15:00:00,0.7,-5.8,-6.6,-9.2,0.8,11.6,52.1,36.6,2.1
2006-08-18 15:00:00,-0.7,-7.2,-6.8,-8.6,1.4,11.3,51,38.2,3.8
2006-08-21 15:00:00,-1.9,-7.9,-7.4,-9.4,-0.1,9.6,50,38.3,3.8
2006-08-22 15:00:00,-1.8,-8.1,-7.2,-8.9,0.1,8.2,50.2,38.5,4.2
2006-08-23 15:00:00,-1,-7.4,-7.1,-9.4,0.7,7.9,49.4,38,3.7
2006-08-24 15:00:00,-1.7,-8,-8,-10.7,-0.5,6.5,46.4,37.1,2.9
2006-08-25 15:00:00,-0.9,-7.2,-7.2,-9.8,0.6,7.1,48.2,38.9,4.6
2006-08-28 15:00:00,-1.1,-7.4,-7.7,-10.2,0.3,6.3,46.8,37.4,3.1
2006-08-29 15:00:00,-0.1,-6,-6.3,-9,2.2,8.3,48.9,39.7,5.5
2006-08-30 15:00:00,-0.5,-6.9,-7.7,-10.1,1.8,8.2,49.8,40.7,6.7
2006-08-31 15:00:00,-0.4,-6.7,-7.1,-9.4,2.7,8.5,51.5,43,9.1
2006-09-01 15:00:00,0.4,-5.3,-5.6,-7.2,2.7,8.9,53.5,46,9.6
2006-09-05 15:00:00,1.3,-4.9,-5.6,-6.9,2.4,9.2,53.8,44.5,8.1
2006-09-06 15:00:00,1.8,-4.6,-5.5,-7.2,1.5,9.1,53,43.8,7.3
2006-09-07 15:00:00,0.8,-5.5,-6.7,-8.6,-0.6,7.4,52.5,43.1,6.6
2006-09-08 15:00:00,0.8,-5.4,-6.8,-9.3,-1.5,8.9,53.2,44,8.3
2006-09-11 15:00:00,1.5,-5.5,-6.6,-10,-2,7.3,51.9,44.6,6.2
2006-09-12 15:00:00,2.6,-4.7,-6.4,-9.6,-1.7,7.5,52.4,45.7,7.3
2006-09-13 15:00:00,2.8,-4.4,-6,-9.1,-0.7,8.7,53.1,46.5,8.1
2006-09-14 15:00:00,4.1,-3.5,-5.6,-8.5,-0.9,8.4,51.1,44.9,6.5
2006-09-15 15:00:00,4.3,-3.1,-5.1,-8,-0.5,9,52.9,45.9,4.7
2006-09-18 15:00:00,3.2,-4.2,-5.6,-8.5,-1,8.5,50.6,45,3.9
2006-09-19 15:00:00,2.9,-4.4,-5.6,-8.6,-0.8,10.4,54.6,49.2,8.1
2006-09-20 15:00:00,3,-4.5,-5.7,-8.2,-0.2,10.7,54.8,49.2,7.9
2006-09-21 15:00:00,2,-5.1,-5.9,-8,-0.2,12.2,58.6,53.9,14.1
2006-09-22 15:00:00,1.4,-7.1,-8,-10,-0.9,11.8,59.1,55.5,16.3
2006-09-25 15:00:00,1.1,-7.8,-9,-11.4,-1.9,11.9,60.7,56.9,17.9
2006-09-26 15:00:00,4.1,-5,-7.4,-10.6,-2.1,11,59.3,54.8,15.5
2006-09-27 15:00:00,5.6,-3.2,-6.6,-10.7,-2.5,12.7,59.7,55.4,16.1
2006-09-28 15:00:00,6.1,-2.3,-5.8,-10.6,-3.4,13.1,59.6,54.5,15.2
2006-09-29 15:00:00,7.9,-1.2,-5.6,-10.7,-4,12.3,58.5,53.7,14.5
2006-10-02 15:00:00,8.5,1.2,-4.8,-10.2,-1.5,13.4,60.4,56.2,16.2
2006-10-03 15:00:00,7.6,-0.2,-6,-11.3,-2.9,11.1,59.1,55.6,15.6
2006-10-04 15:00:00,5.5,-2.3,-7.8,-13.1,-4.7,8.9,60,58.5,18.8
2006-10-05 15:00:00,6.1,-1.8,-7.6,-12.9,-5.2,9.1,58.3,55.9,15.9
2006-10-06 15:00:00,7.6,-0.5,-6.8,-11.8,-3.5,10,54.1,51.3,11.8
2006-10-10 15:00:00,8.7,1.2,-5.4,-11.1,-3.4,10.8,53.5,49.2,8.3
2006-10-11 15:00:00,9.6,2.1,-5,-10.6,-4.1,8.9,51,47,6
2006-10-12 15:00:00,8.5,1.5,-5.1,-10.8,-4.4,8.4,51.9,47.8,6.6
2006-10-13 15:00:00,7.7,0.6,-5.7,-11.4,-5.6,6.6,50.4,46.5,5.3
2006-10-16 15:00:00,5.6,-1.1,-6.9,-12.9,-6.4,6.2,49.1,44.3,5.5
2006-10-17 15:00:00,4.8,-1.9,-7.6,-13.5,-7,4.5,50.5,44.9,6.2
2006-10-18 15:00:00,4.9,-2,-6.9,-12.5,-5.3,5,51.5,45.6,6.6
2006-10-19 15:00:00,6,-0.9,-5.9,-10.9,-3.9,5.3,51.3,45.1,6.2
2006-10-20 15:00:00,4.7,-1.7,-6.8,-11.8,-4.6,4.3,50.2,44.4,5.4
2006-10-23 15:00:00,5.6,-1.4,-6.7,-11.9,-5.3,3.3,47.6,42.4,3.4
2006-10-24 15:00:00,6.4,-0.5,-5.8,-10.8,-4.1,3.9,48.6,42.7,3.6
2006-10-25 15:00:00,6,-0.8,-5.7,-10.8,-3.6,5.4,50.7,45.3,6
2006-10-26 15:00:00,5.4,-1.1,-5.8,-11.3,-4,6.7,52,48.7,9.6
2006-10-27 15:00:00,6.1,-0.9,-5.1,-10.5,-2.4,9.1,55,52,12.9
2006-10-30 15:00:00,6.3,-1,-5.7,-11.2,-3.1,8.3,54.4,51.5,12.6
2006-10-31 15:00:00,5.7,-1.9,-6.3,-12,-3.1,8,57.1,54.8,15.8
2006-11-01 15:00:00,5.2,-2.5,-7.9,-10.9,-3.3,8.9,58.3,56.5,18.7
2006-11-02 15:00:00,5.4,-2.1,-7.8,-11,-3.3,8.5,58.8,56.2,16.8
2006-11-03 15:00:00,5.5,-2.4,-9,-12.7,-6,5.5,51.6,48.8,7.8
2006-11-06 15:00:00,4.9,-2.8,-9.5,-13.1,-6,4.9,52.1,49.2,8.1
2006-11-07 15:00:00,3.8,-3.5,-9.4,-12.8,-5.2,6.6,55.7,52.2,11.1
2006-11-08 15:00:00,4.2,-3.2,-9,-12.3,-4.5,8.6,57.7,54.6,14.1
2006-11-09 15:00:00,2.8,-4.5,-9.5,-13,-4.6,9.2,55.7,54.8,14.2
2006-11-10 15:00:00,3.5,-4.7,-10,-13.8,-4.9,9.5,57.5,56.2,15.8
2006-11-13 15:00:00,3.5,-4,-9.1,-13.1,-4.9,10.2,56.3,55.1,14.6
2006-11-14 15:00:00,4.3,-4.5,-9.2,-13.2,-5,11.1,58.7,57.2,16.8
2006-11-15 15:00:00,4.4,-4.9,-9.6,-13.6,-5.8,10.3,56.2,55,13
2006-11-16 15:00:00,4.3,-4.4,-9,-12.9,-6.1,9.9,54.9,53.7,11.5
2006-11-17 15:00:00,2.5,-6.5,-10.7,-14.6,-7.7,10.1,57.7,57.5,15.4
2006-11-20 15:00:00,2.3,-6.9,-11.1,-15.2,-8.2,9.4,58,57.6,15.5
2006-11-21 15:00:00,3.1,-5.8,-9.8,-13.6,-6.2,11.7,58.9,58.3,16.1
2006-11-22 15:00:00,3.6,-5.4,-9.3,-13.1,-4.6,13.4,59.4,58.6,16.5
2006-11-24 15:00:00,4.7,-4.5,-8.5,-12.5,-4.6,14.6,60.9,60,18
2006-11-27 15:00:00,3.1,-5.2,-9,-12.6,-3.5,16.2,62.8,62.2,18.9
2006-11-28 15:00:00,2.4,-5.6,-9.4,-13.1,-2.4,18.2,65.1,64.5,21.4
2006-11-29 15:00:00,1.9,-6.7,-10.5,-14.3,-3.8,17.8,63.9,63.3,20.2
2006-11-30 15:00:00,-0.2,-9.7,-12.8,-17.2,-6.2,17.6,67.1,66.1,23.3
2006-12-01 15:00:00,0.1,-8.4,-10.8,-13.7,-2,10.2,71.9,72.2,31.4
2006-12-04 15:00:00,0.1,-8.7,-11.3,-14.1,-2.9,10.3,71.6,71.9,31
2006-12-05 15:00:00,0.1,-8.6,-11.5,-16.2,-4.6,8.7,71.3,71.5,30.7
2006-12-06 15:00:00,2.3,-7.2,-10.9,-16.6,-5.5,8.9,68.4,68.9,27.1
2006-12-07 15:00:00,3,-6.5,-11.2,-16.7,-5.8,8.6,67.6,68.8,27.5
2006-12-08 15:00:00,3.2,-6.4,-11.2,-16.4,-6,7.1,64,64.9,21.8
2006-12-11 15:00:00,3.2,-6.9,-11.7,-17.8,-7.4,5.8,65,65.5,22.3
2006-12-12 15:00:00,2.2,-7.9,-12.8,-19.8,-9.8,4.8,67.7,67.8,24.8
2006-12-13 15:00:00,4.9,-5.2,-11.1,-17.1,-8.5,5,65.6,65.8,20.3
2006-12-14 15:00:00,5.9,-4.1,-10.6,-16.7,-8.2,4.4,64.3,64.5,18.9
2006-12-15 15:00:00,6.3,-3.7,-10,-16.3,-7.7,4.8,64.5,64.7,19
2006-12-18 15:00:00,7.1,-2.4,-8.6,-14.4,-6,6.9,64.9,65.1,19.2
2006-12-19 15:00:00,6.4,-3,-8.9,-14.5,-5.5,6.6,64.3,64.6,18.6
2006-12-20 15:00:00,5.7,-3.8,-9.5,-14.8,-5.5,6.1,64,64.2,18.1
2006-12-21 15:00:00,4,-4.6,-9.9,-15.4,-5.1,7.3,67.4,67.2,21.2
2006-12-22 15:00:00,3.9,-5,-10.8,-15.5,-5.1,7.2,62.8,63.4,17.5
2006-12-26 15:00:00,4.7,-4.4,-10.2,-15.1,-5.2,6.4,64.2,63.9,17.9
2006-12-27 15:00:00,5.8,-3.3,-9.4,-14.1,-4.1,5.6,62,62.8,15.4
2006-12-28 15:00:00,7.5,-2.3,-8.7,-14,-4.8,7.2,61.3,61.2,13.8
2006-12-29 15:00:00,8.2,-1.9,-9.2,-15,-6.2,4.3,57.7,60.1,12.7
2007-01-02 15:00:00,7.1,-2.5,-9.7,-14.3,-5.6,3.2,59.3,61.1,12.6
2007-01-03 15:00:00,5.4,-3.7,-10.1,-14.5,-6.1,4,62.1,63.7,15.4
2007-01-04 15:00:00,2.9,-6.1,-11.4,-15.8,-6.3,3.2,62.9,66.7,18.7
2007-01-05 15:00:00,3.4,-6.1,-11.2,-15.6,-6.1,3.5,63.5,64.9,16.9
2007-01-08 15:00:00,5.3,-4.7,-10.2,-14.2,-4.7,5.8,65.6,65,17.3
2007-01-09 15:00:00,5.4,-10.4,-9.8,-14.1,-3.7,6.6,65.6,64.9,17.3
