run,QWinLossRatio,QAverageWin,QLargestLossPerAverageLoss,QRealizedGrossProfit,QLongLosingTrades,QLongWinningTrades,QAverageLoss,QRealizedGrossLoss,QLosingTradesPct,QAverageDrawdownRecoveryTime,QStandardDeviationWeekly,QDownsideDeviation,QSharpeRatioWeekly,QTotalBarsHeld,QUnrealizedNetProfit,QTwentyPercentileDrawdown,QSortinoRatio,QLargestWinPerNetProfit,QLargestLosingTrade,QMaxConsecutiveLosingTrades,QAverageWinningBarsHeld,QLargestWinningTrade,QConditionalTenPercentileDrawdown,QTenPercentileDrawdown,QAverageBarsHeld,QNetProfitPerMaxDrawdown,QTradesPerBar,QWinningTrades,QStandardDeviation,QAverageLosingBarsHeld,QTotalFinishedTrades,QLargestLossPerGrossLoss,QShortLosingTrades,QRealizedNetProfit,QMaxConsecutiveWinningTrades,QAnnualizedNetProfit,QAverageTrade,QMaxDrawdown,QStandardDeviationMonthly,QAverageDrawdown,QWinningBarsHeld,QShortWinningTrades,QTotalTrades,QAverageProfit,QConditionalTwentyPercentileDrawdown,QKRatio,QOmegaRatio,QUpsidePotentialRatio,QLosingBarsHeld,QAverageDrawdownTime,QExpectancy,QLargestWinPerGrossProfit,QSharpeRatio,QLargestWinPerAverageWin,QExpectancyScore,QCalmarRatio,QLosingTrades,QSharpeRatioMonthly,QWinningTradesPct,QNetProfit,QNeutralTrades
1,0.740961818,1064328.563,2.208374144,2128657.126,8,1,-1436414.856,-12927733.7,0.818181818,0,311889.6131,1279047.434,-0.860538058,22,-1.02E-06,0,-0.747451016,-0.118504923,-3172141.427,4,5,1279743.74,0,0,2,-1,0.007868383,2,193527.4081,1.333333333,11,0.245374905,1,-10799076.58,1,-1935408.597,-981734.2344,-10799076.58,641066.7744,-10799076.58,10,1,11,-981734.2344,0,-3.139737503,0.481316371,0.783480268,12,0,-0.683461488,0.601197687,-0.629984574,1.202395373,-0.005377737,-0.179219823,9,-0.871522842,0.181818182,-10799076.58,0
2,1.8528389,4127179.459,1.443883735,4127179.459,2,1,-2227489.643,-4454979.286,0.666666667,522,281976.6826,1301203.396,-0.028892152,8,-3.84E-07,0,-0.040426039,-12.59054803,-3216236.065,1,6,4127179.459,0,0,2.666666667,-0.101920325,0.002145923,1,121898.5011,1,3,0.721941867,0,-327799.8265,1,-58748.227,-109266.6088,-3216236.065,656888.7465,-2797527.036,6,0,3,-109266.6088,0,0.801781017,0.944496849,1.071732523,2,524,-0.0490537,1,-0.030359606,1,-0.000105265,-0.018266143,2,-0.025817389,0.333333333,-327799.8265,0
3,0,0,1,0,1,0,-32492.60218,-32492.60218,1,0,1901.485717,767779.5952,-0.424693681,3,-1.31E-07,0,-0.012705145,0,-32492.60218,1,0,0,0,0,3,-0.025694648,0.000715308,0,39448.63596,3,1,1,0,-32492.60218,0,-5823.318424,-32492.60218,-1264566.938,3940.30679,-1264566.938,0,0,1,-32492.60218,0,-0.186112838,0.974305352,0.802361995,3,0,-1,0,-0.009299043,0,-0.000715308,-0.00460499,1,-0.426628514,0,-32492.60218,0
