"count","levels.cor","weekly.changes.cor","weekly.changes.beta","daily.changes.cor","daily.changes.beta","scholes.william.beta","signTest.percentMatching","signTest.pValue"
"10ySwapRate",3871,-0.975242598370839,-0.843,-3.361,-0.823894338103978,-3.324,-3.468,0.104651162790698,4.94065645841247e-324
"CDX.IG5Y",1313,0.282362798180813,-0.016,-6.514,0.105562196083386,49.802,28.347,0.428353658536585,2.32659897088998e-07
"5ySwapSpread",3834,0.135935868508212,-0.144,-2.055,-0.0239391518138663,-0.320,-2.034,0.442473258544221,1.12208259153107e-12
"3m5yBpVolDaily",3717,0.0163610047138452,-0.327,-0.455,-0.30180895222784,-0.449,-0.491,0.349569429494080,3.87567091121297e-76
"2y10yBpVolDaily",3715,-0.0422040670984417,-0.383,-1.074,-0.393978705358586,-1.203,-1.225,0.326063543349488,1.16129457993611e-101
