Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
1990-07-03, NA , 3.9359 ,6.1547, 7.34 
1990-07-05, NA , 3.9211 ,6.157, 7.30 
1990-07-06, NA , 3.9156 ,6.1607, 7.21 
1990-07-09, NA , 3.8965 ,6.177, 7.16 
1990-07-10, NA , 3.8936 ,6.1678, 7.16 
1990-07-11, NA , 3.8966 ,6.1759, 7.15 
1990-07-12, NA , 3.8886 ,6.1858, 7.20 
1990-07-13, NA , 3.9116 ,6.2275, 7.18 
1990-07-16, NA , 3.9020 ,6.2351, 7.22 
1990-07-17, NA , 3.9026 ,6.21, 7.21 
1990-07-18, NA , 3.9175 ,6.2311, 7.15 
1990-07-19, NA , 3.9041 ,6.2288, 7.13 
1990-07-20, NA , 3.9111 ,6.2422, 7.14 
1990-07-23, NA , 3.9068 ,6.2354, 7.15 
1990-07-24, NA , 3.8852 ,6.2121, 7.11 
1990-07-25, NA , 3.8901 ,6.2508, 7.14 
1990-07-26, NA , 3.8946 ,6.2528, 7.15 
1990-07-27, NA , 3.8971 ,6.2744, 7.22 
1990-07-30, NA , 3.9229 ,6.2967, 7.28 
1990-07-31, NA , 3.9238 ,6.2933, 7.28 
1990-08-01, NA , 3.9204 ,6.2466, 7.30 
1990-08-02, NA , 3.9147 ,6.2587, 7.22 
1990-08-03, NA , 3.9110 ,6.2408, 7.16 
1990-08-06, NA , 3.8842 ,6.1586, 6.99 
1990-08-07, NA , 3.8597 ,6.1261, 6.98 
1990-08-08, NA , 3.8547 ,6.1287, 6.96 
1990-08-09, NA , 3.8938 ,6.2015, 6.98 
1990-08-10, NA , 3.8957 ,6.1742, 6.96 
1990-08-13, NA , 3.8846 ,6.1769, 6.94 
1990-08-14, NA , 3.8956 ,6.1858, 6.93 
1990-08-15, NA , 3.8970 ,6.2302, 6.94 
1990-08-16, NA , 3.9104 ,6.1663, 6.83 
1990-08-17, NA , 3.8983 ,6.1299, 6.81 
1990-08-20, NA , 3.9042 ,6.1007, 6.83 
1990-08-21, NA , 3.8921 ,6.1067, 6.80 
1990-08-22, NA , 3.9074 ,6.0624, 6.76 
1990-08-23, NA , 3.8908 ,6.0241, 6.72 
1990-08-24, NA , 3.8745 ,6.0141, 6.68 
1990-08-27, NA , 3.8960 ,6.0829, 6.74 
1990-08-28, NA , 3.9341 ,6.0677, 6.72 
1990-08-29, NA , 3.9483 ,6.1219, 6.76 
1990-08-30, NA , 4.0464 ,6.1105, 6.76 
1990-08-31, NA , 4.0447 ,6.1055, 7.10 
1990-09-04, NA , 4.0384 ,6.2261, 7.07 
1990-09-05, NA , 4.0459 ,6.2325, 7.04 
1990-09-06, NA , 4.0432 ,6.2368, 7.06 
1990-09-07, NA , 4.0425 ,6.2415, 7.05 
1990-09-10, NA , 4.0296 ,6.2271, 7.05 
1990-09-11, NA , 4.0304 ,6.2337, 7.01 
1990-09-12, NA , 4.0322 ,6.2483, 7.00 
1990-09-13, NA , 4.0570 ,6.2495, 7.02 
1990-09-14, NA , 4.0399 ,6.2141, 7.11 
