Date,fncl_cc_30d_yield:internal
2007-07-20 15:00:00,6.183914641
2007-07-23 15:00:00,6.202075805
2007-07-24 15:00:00,6.201613349
2007-07-25 15:00:00,6.195476849
2007-07-26 15:00:00,6.138972854
2007-07-27 15:00:00,6.143095206
2007-07-30 15:00:00,6.169455281
2007-07-31 15:00:00,6.147768139
2007-08-01 15:00:00,6.121220258
2007-08-02 15:00:00,6.092085409
2007-08-03 15:00:00,6.029619201
2007-08-06 15:00:00,6.045801615
2007-08-07 15:00:00,6.034101004
2007-08-08 15:00:00,6.089108909
2007-08-09 15:00:00,6.066860656
2007-08-10 15:00:00,6.076755472
2007-08-13 15:00:00,6.091829508
2007-08-14 15:00:00,6.093391286
2007-08-15 15:00:00,6.125955195
2007-08-16 15:00:00,6.061129418
2007-08-17 15:00:00,6.031286418
2007-08-20 15:00:00,5.999241544
2007-08-21 15:00:00,5.952031284
2007-08-22 15:00:00,5.966575187
2007-08-23 15:00:00,5.959519255
2007-08-24 15:00:00,5.929909114
2007-08-27 15:00:00,5.8963813
2007-08-28 15:00:00,5.871076516
2007-08-29 15:00:00,5.905792558
2007-08-30 15:00:00,5.896071911
2007-08-31 15:00:00,5.941937891
2007-09-04 15:00:00,5.957266522
2007-09-05 15:00:00,5.853917374
2007-09-06 15:00:00,5.861458102
2007-09-07 15:00:00,5.696628565
2007-09-10 15:00:00,5.664539856
2007-09-11 15:00:00,5.734699723
2007-09-12 15:00:00,5.800889278
2007-09-13 15:00:00,5.843005145
2007-09-14 15:00:00,5.822699886
2007-09-17 15:00:00,5.822960534
2007-09-18 15:00:00,5.721382411
2007-09-19 15:00:00,5.730038153
2007-09-20 15:00:00,5.894625871
2007-09-21 15:00:00,5.882014496
2007-09-24 15:00:00,5.902532721
2007-09-25 15:00:00,5.897717006
2007-09-26 15:00:00,5.907296606
2007-09-27 15:00:00,5.853731573
2007-09-28 15:00:00,5.884899261
2007-10-01 15:00:00,5.86515195
2007-10-02 15:00:00,5.844050291
2007-10-03 15:00:00,5.838971134
2007-10-04 15:00:00,5.818107792
2007-10-05 15:00:00,5.914991648
2007-10-09 15:00:00,5.913591359
2007-10-10 15:00:00,5.915846761
2007-10-11 15:00:00,5.896715305
2007-10-12 15:00:00,5.909290096
