run,QWinLossRatio,QAverageWin,QLargestLossPerAverageLoss,QRealizedGrossProfit,QLongLosingTrades,QLongWinningTrades,QAverageLoss,QRealizedGrossLoss,QLosingTradesPct,QAverageDrawdownRecoveryTime,QStandardDeviationWeekly,QDownsideDeviation,QSharpeRatioWeekly,QTotalBarsHeld,QUnrealizedNetProfit,QTwentyPercentileDrawdown,QSortinoRatio,QLargestWinPerNetProfit,QLargestLosingTrade,QMaxConsecutiveLosingTrades,QAverageWinningBarsHeld,QLargestWinningTrade,QConditionalTenPercentileDrawdown,QTenPercentileDrawdown,QAverageBarsHeld,QNetProfitPerMaxDrawdown,QTradesPerBar,QWinningTrades,QStandardDeviation,QAverageLosingBarsHeld,QTotalFinishedTrades,QLargestLossPerGrossLoss,QShortLosingTrades,QRealizedNetProfit,QMaxConsecutiveWinningTrades,QAnnualizedNetProfit,QAverageTrade,QMaxDrawdown,QStandardDeviationMonthly,QAverageDrawdown,QWinningBarsHeld,QShortWinningTrades,QTotalTrades,QAverageProfit,QConditionalTwentyPercentileDrawdown,QKRatio,QOmegaRatio,QUpsidePotentialRatio,QLosingBarsHeld,QAverageDrawdownTime,QExpectancy,QLargestWinPerGrossProfit,QSharpeRatio,QLargestWinPerAverageWin,QExpectancyScore,QCalmarRatio,QLosingTrades,QSharpeRatioMonthly,QWinningTradesPct,QNetProfit,QNeutralTrades
1,0.919720327,1657098.522,5.090183397,8285492.608,13,4,-1801741.762,-28827868.19,0.761904762,0,689511.5266,1916397.832,-0.740446198,45,8.23E-07,0,-0.738277921,-0.121776051,-9171196.002,6,4.4,2501569.386,0,0,2.142857143,-1,0.015021459,5,360513.8806,1.4375,21,0.318136462,3,-20542375.58,2,-3681600.923,-978208.361,-20542375.58,1592638.825,-20542375.58,22,1,21,-978208.361,0,-1.041797407,0.524647203,0.695932921,23,0,-0.542923732,0.301921624,-0.64330133,1.509608121,-0.008155507,-0.179219823,16,-0.667311775,0.238095238,-20542375.58,0
2,1.333082689,3338994.886,1.284071635,10016984.66,4,3,-2504717.009,-10018868.04,0.571428571,470.5,543297.9259,2705667.379,-8.62E-05,20,6.07E-07,0,-8.53E-05,-2191.368767,-3216236.065,2,5.333333333,4127179.459,0,0,2.857142857,-0.000277367,0.005007153,3,348042.8387,1,7,0.321017909,0,-1883.379704,3,-337.5389778,-269.0542434,-6790197.048,1141335.545,-6494168.997,16,0,7,-269.0542434,0,1.417606245,0.999910158,0.645601927,4,488.5,-0.000107419,0.412018147,-6.11E-05,1.236054442,-5.38E-07,-4.97E-05,4,-8.54E-05,0.428571429,-1883.379703,0
3,0,0,1,0,1,0,-32492.60218,-32492.60218,1,0,1901.485717,767779.5952,-0.424693681,3,-1.31E-07,0,-0.012705145,0,-32492.60218,1,0,0,0,0,3,-0.025694648,0.000715308,0,39448.63596,3,1,1,0,-32492.60218,0,-5823.318424,-32492.60218,-1264566.938,3940.30679,-1264566.938,0,0,1,-32492.60218,0,-0.186112838,0.974305352,0.802361995,3,0,-1,0,-0.009299043,0,-0.000715308,-0.00460499,1,-0.426628514,0,-32492.60218,0
