run,QAnnualizedNetProfit,QAverageBarsHeld,QAverageDrawdown,QAverageDrawdownRecoveryTime,QAverageDrawdownTime,QAverageLosingBarsHeld,QAverageLoss,QAverageProfit,QAverageTrade,QAverageWin,QAverageWinningBarsHeld,QCalmarRatio,QConditionalTenPercentileDrawdown,QConditionalTwentyPercentileDrawdown,QDownsideDeviation,QExpectancy,QExpectancyScore,QKRatio,QLargestLosingTrade,QLargestLossPerAverageLoss,QLargestLossPerGrossLoss,QLargestWinningTrade,QLargestWinPerAverageWin,QLargestWinPerGrossProfit,QLargestWinPerNetProfit,QLongLosingTrades,QLongWinningTrades,QLosingBarsHeld,QLosingTrades,QLosingTradesPct,QMaxConsecutiveLosingTrades,QMaxConsecutiveWinningTrades,QMaxDrawdown,QNetProfit,QNetProfitPerMaxDrawdown,QNeutralTrades,QOmegaRatio,QRealizedGrossLoss,QRealizedGrossProfit,QRealizedNetProfit,QSharpeRatio,QSharpeRatioMonthly,QSharpeRatioWeekly,QShortLosingTrades,QShortWinningTrades,QSortinoRatio,QStandardDeviation,QStandardDeviationMonthly,QStandardDeviationWeekly,QTenPercentileDrawdown,QTotalBarsHeld,QTotalFinishedTrades,QTotalTrades,QTradesPerBar,QTwentyPercentileDrawdown,QUnrealizedNetProfit,QUpsidePotentialRatio,QWinLossRatio,QWinningBarsHeld,QWinningTrades,QWinningTradesPct
1,-5630553.66,0.953488372,-31417024.95,0,0,0.75,-1061841.965,-730628.487,-730628.487,972755.11,2,-0.089609912,0,0,1044491.149,-0.344038243,-0.010582006,-1.097214235,-4585598.001,2.159265764,0.059979605,1492505.467,0.767153753,0.109593394,-0.023753132,9,2,27,18,0.418604651,6.5,1,-31417024.95,-31417024.95,-0.5,0,0.179984173,-38226310.72,6809285.77,-31417024.95,1,-0.638196859,-0.640293532,9,1.5,-0.768692134,269131.9774,1273432.182,609733.869,0,41,21.5,21.5,0.015379113,0,2.98E-07,0.352437338,0.458050794,14,3.5,0.081395349
2,30000000,7.5,-53284321.17,0,0,3.6,-9337272.255,-3239742.375,-3239742.375,12004082.33,17.25,-0.457663602,0,0,10030005.21,-1.040906472,-0.010423956,0.350806725,-18300372.84,5.87978127,0.587978127,17965375.34,4.489816425,1.122454107,-1.188280683,24,9,36,30,2.142857142,15,9,-53284321.17,-45356393.25,-2.553643863,0,1.965234249,-93372722.55,48016329.3,-45356393.25,3,-0.884580702,-1.139431632,6,3,-1.287924174,1436035.472,7958252.745,2967945.132,0,105,42,42,0.030042918,0,1.68E-08,1.51559082,3.856827348,69,12,0.857142858
3,-546549.5843,0.416666667,-3049604.525,0,0,0.416666667,-1016534.842,-1016534.842,-1016534.842,0,0,-0.044804956,0,0,960465.9548,-0.25,-0.000536481,-0.16167724,-2440088.159,0.60009949,0.200033163,0,0,0,0,0.75,0,1.25,0.75,0.25,0.75,0,-3049604.525,-3049604.525,-0.25,0,0.022934273,-3049604.525,0,-3049604.525,-0.136063594,-0.129469784,-0.128943384,0,0,-0.137585484,63259.7349,304656.5578,146949.747,0,1.25,0.75,0.75,0.000536481,0,-1.94E-07,0.040087129,0,0,0,0
