,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-05-29,-0.967939465,-0.045794621,0.047311452,0.131088894,0.227634573,0.388869433,0.16320815,6.982674524,-1.719715398,-1.48E-05,1,0.006654157,-0.39550798,0.582593146,1,8
2003-05-30,-1.043378241,-0.037862598,0.036288468,0.347157416,0.419695481,0.182786197,0.042815582,7.368539076,-1.775258995,-1.47E-05,1,0.006630041,0.040291615,0.622884761,1,10
2003-06-02,-0.867141506,-0.032945973,0.037993768,0.500787069,0.556255173,0.066139666,0.013259175,9.791855719,-2.129487065,-1.73E-05,1,0.007783643,-0.016636691,0.60624807,1,10
2003-06-03,-0.38046302,-0.014487665,0.038079037,0.586680605,0.632604983,0.029967702,0.005943872,11.74597817,-2.414788734,-1.92E-05,1,0.008624373,0.029024461,0.635272531,1,10
2003-06-04,-0.377964541,-0.014091135,0.037281633,0.714425887,0.746156344,0.0061979,0.001273028,15.20849777,-2.919694465,-2.16E-05,1,0.009727909,-0.070083887,0.565188644,1,10
2003-06-05,0.127689943,0.004487025,0.03514,0.77648031,0.801315831,0.002166154,0.000464873,17.32817596,-3.228012936,-2.34E-05,1,0.010515622,0.041776591,0.606965235,1,10
2003-06-06,-0.316155973,-0.01104697,0.034941519,0.787474847,0.811088753,0.00159999,0.000378162,19.07109847,-3.481679611,-2.53E-05,1,0.01138691,-0.083523305,0.52344193,1,9
2003-06-09,-1.215102772,-0.046481385,0.038253048,0.715796333,0.747374518,0.00402281,0.001247989,22.13790385,-3.928163241,-2.99E-05,1,0.013471884,-0.123812162,0.399629769,1,7
2003-06-10,-0.311778523,-0.010485347,0.033630755,0.697292581,0.730926738,0.005941208,0.001619818,19.12483647,-3.491053212,-2.54E-05,1,0.011444989,0.127357865,0.526987634,1,7
2003-06-11,0.714620559,0.013314372,0.018631387,0.76975113,0.795334338,0.004839022,0.000524949,11.01431821,-2.313505592,-1.62E-05,1,0.007312314,0.118200165,0.645187798,1,10
2003-06-12,0.160854409,0.002958842,0.018394535,0.725637544,0.756122261,0.007767524,0.001079096,11.94990814,-2.44918406,-1.71E-05,1,0.007703615,-0.024273351,0.620914447,1,10
