time,market,position,trueMid,marketBidSize1,marketBidPrice1,marketOfferSize1,marketOfferPrice1,marketBidSize2,marketBidPrice2,marketOfferSize2,marketOfferPrice2,reservePrice,bookPressureSignal,spread,bidSize,rawBidPrice,bidPrice,offerSize,rawOfferPrice,offerPrice,liveSigma,dt,constrainedSpread,rawBidPrice,rawOfferPrice
2011/04/07 08:05:35.429,gt10.1c,0.0,100.40764508928571,5,100-13 ,51,100-13+,85,100-12+,61,100-14 ,100.40764508928571,0.0,0.02109461082895937,2.0,100.39709778387123,100-12+,2.0,100.41819239470018,100-13+,-9999.99,0.994819537037037,0.02109461082895937,100.39709778387123,100.41819239470018
2011/04/07 08:05:35.585,gt10.1c,0.0,100.40764508928571,5,100-13 ,51,100-13+,85,100-12+,61,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39943403799923,100-13 ,2.0,100.42052864856792,100-13+,-9999.99,0.994818811728395,0.021094610568709975,100.39943403799923,100.42052864856792
2011/04/07 08:05:35.616,gt10.1c,0.0,100.40764508928571,1,100-13 ,51,100-13+,85,100-12+,61,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39943403799923,100-13 ,2.0,100.42052864856792,100-13+,-9999.99,0.994818811728395,0.021094610568709975,100.39943403799923,100.42052864856792
2011/04/07 08:05:35.632,gt10.1c,0.0,100.40764508928571,1,100-13 ,51,100-13+,85,100-12+,62,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39943403799923,100-13 ,2.0,100.42052864856792,100-13+,-9999.99,0.994818811728395,0.021094610568709975,100.39943403799923,100.42052864856792
2011/04/07 08:05:35.679,gt10.1c,0.0,100.40764508928571,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,-9999.99,0.994818811728395,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:35.616,gt10.1c,0.0,100.40655048076923,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,-9999.99,0.994818811728395,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:35.632,gt10.1c,0.0,100.40655048076923,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,-9999.99,0.994818811728395,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:35.679,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.021094610568709975,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,-9999.99,0.994818811728395,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:35.772,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.02109461030846058,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9948183333333334,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:35.772,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.02109461017413831,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9948180864197531,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:36.491,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.021094604138031398,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9948069907407407,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.210,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,62,100-14 ,100.40998134328358,0.0,0.02109459823624675,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9947961419753086,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.210,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.40998134328358,0.0,0.02109459823624675,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9947961419753086,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.491,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.40998134328358,0.0,0.021094595877211922,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9947918055555556,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.710,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.40998134328358,0.0,0.02109459403867588,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9947884259259259,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.710,gt10.1c,0.0,100.40998134328358,83,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.40998134328358,0.0,0.02109459403867588,2.0,100.39435634328358,100-12+,2.0,100.42560634328358,100-13+,0.00602220992120857,0.9947884259259259,0.03125,100.39435634328358,100.42560634328358
2011/04/07 08:05:37.757,gt10.1c,0.0,100.4055316091954,83,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.4055316091954,0.0,0.02109459364410422,2.0,100.3899066091954,100-12+,2.0,100.4211566091954,100-13+,0.00602220992120857,0.9947877006172839,0.03125,100.3899066091954,100.4211566091954
2011/04/07 08:05:37.757,gt10.1c,0.0,100.4055316091954,83,100-12+,4,100-13 ,66,100-12 ,51,100-13+,100.4055316091954,0.0,0.02109459364410422,2.0,100.39498431237335,100-12+,2.0,100.41607890601746,100-13+,0.00602220992120857,0.9947877006172839,0.02109459364410422,100.39498431237335,100.41607890601746
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40606174698796,83,100-12+,4,100-13 ,66,100-12 ,51,100-13+,100.40606174698796,0.0,0.021094593518177093,2.0,100.39551445022887,100-12+,2.0,100.41660904374704,100-13+,0.00602220992120857,0.9947874691358025,0.021094593518177093,100.39551445022887,100.41660904374704
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40606174698796,82,100-12+,1,100-13 ,66,100-12 ,52,100-13+,100.40974813432835,0.0,0.021094593518177093,2.0,100.39920083756927,100-13 ,2.0,100.42029543108744,100-13+,0.00602220992120857,0.9947874691358025,0.021094593518177093,100.39920083756927,100.42029543108744
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40606174698796,82,100-12+,52,100-13+,66,100-12 ,64,100-14 ,100.40974813432835,0.0,0.021094593518177093,2.0,100.39412313432835,100-12+,2.0,100.42537313432835,100-13+,0.00602220992120857,0.9947874691358025,0.03125,100.39412313432835,100.42537313432835
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40974813432835,82,100-12+,52,100-13+,66,100-12 ,64,100-14 ,100.40974813432835,0.0,0.021094593518177093,2.0,100.39412313432835,100-12+,2.0,100.42537313432835,100-13+,0.00602220992120857,0.9947874691358025,0.03125,100.39412313432835,100.42537313432835
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40989191729324,82,100-12+,52,100-13+,66,100-12 ,64,100-14 ,100.40989191729324,0.0,0.021094593518177093,2.0,100.39426691729324,100-12+,2.0,100.42551691729324,100-13+,0.00602220992120857,0.9947874691358025,0.03125,100.39426691729324,100.42551691729324
2011/04/07 08:05:37.772,gt10.1c,0.0,100.40989191729324,82,100-12+,51,100-13+,66,100-12 ,63,100-14 ,100.40989191729324,0.0,0.021094593518177093,2.0,100.39426691729324,100-12+,2.0,100.42551691729324,100-13+,0.00602220992120857,0.9947874691358025,0.03125,100.39426691729324,100.42551691729324
