time,market,exchange,side,size,amount,price,mid,edge,position,inventoryPnl,totalPnl
2011/04/07 08:56:30.573,gt10.1c,eSpeed,BUY,1,1,100.546875,100.5546875,78.125,1,0.0,78.125
2011/04/07 08:57:37.353,gt10.1c,eSpeed,BUY,1,1,100.546875,100.5546875,78.125,2,0.0,78.125
2011/04/07 08:57:37.384,gt10.1c,eSpeed,BUY,1,1,100.546875,100.5390625,-78.125,3,-312.5,-390.625
2011/04/07 08:58:12.524,gt10.1c,eSpeed,SELL,1,-1,100.5625,100.5546875,78.125,2,468.75,546.875
2011/04/07 09:35:16.732,gt10.1c,eSpeed,SELL,2,-2,100.71875,100.7109375,156.25,0,3125.0,3281.25
2011/04/07 10:08:09.772,gt10.1c,eSpeed,BUY,2,2,100.625,100.6171875,-156.25,2,-0.0,-156.25
2011/04/07 10:08:09.788,gt10.1c,eSpeed,BUY,2,2,100.625,100.6171875,-156.25,4,0.0,-156.25
2011/04/07 10:08:20.756,gt10.1c,eSpeed,SELL,2,-2,100.625,100.6171875,156.25,2,0.0,156.25
2011/04/07 10:33:11.102,gt10.1c,eSpeed,SELL,1,-1,100.46875,100.4765625,-78.125,1,-2812.5,-2890.625
2011/04/07 10:33:11.118,gt10.1c,eSpeed,SELL,1,-1,100.46875,100.4765625,-78.125,0,0.0,-78.125
2011/04/07 10:33:26.196,gt10.1c,eSpeed,BUY,1,1,100.46875,100.4765625,78.125,1,0.0,78.125
2011/04/07 10:42:27.295,gt10.1c,eSpeed,SELL,2,-2,100.6875,100.6875,-0.0,-1,2109.375,2109.375
2011/04/07 10:42:27.311,gt10.1c,eSpeed,SELL,1,-1,100.6875,100.6875,-0.0,-2,-0.0,-0.0
2011/04/07 10:42:29.529,gt10.1c,eSpeed,BUY,1,1,100.6875,100.6796875,-78.125,-1,156.25,78.125
2011/04/07 10:42:29.545,gt10.1c,eSpeed,BUY,1,1,100.6875,100.6796875,-78.125,0,-0.0,-78.125
2011/04/07 10:42:30.248,gt10.1c,eSpeed,SELL,1,-1,100.671875,100.671875,-0.0,-1,-0.0,-0.0
2011/04/07 10:42:30.295,gt10.1c,eSpeed,SELL,1,-1,100.671875,100.671875,-0.0,-2,-0.0,-0.0
2011/04/07 10:42:35.701,gt10.1c,eSpeed,BUY,1,1,100.65625,100.6640625,78.125,-1,156.25,234.375
2011/04/07 10:42:35.717,gt10.1c,eSpeed,BUY,1,1,100.65625,100.65625,0.0,0,78.125,78.125
2011/04/07 10:42:35.779,gt10.1c,eSpeed,SELL,1,-1,100.65625,100.65625,-0.0,-1,0.0,0.0
2011/04/07 11:07:21.172,gt10.1c,eSpeed,BUY,1,1,100.625,100.6328125,78.125,0,234.375,312.5
2011/04/07 11:07:22.219,gt10.1c,eSpeed,BUY,1,1,100.625,100.6328125,78.125,1,0.0,78.125
2011/04/07 11:34:33.704,gt10.1c,eSpeed,SELL,1,-1,100.828125,100.8203125,78.125,0,1875.0,1953.125
2011/04/07 12:02:04.781,gt10.1c,eSpeed,SELL,1,-1,100.65625,100.6484375,78.125,-1,-0.0,78.125
2011/04/07 13:27:48.149,gt10.1c,eSpeed,SELL,2,-2,100.578125,100.5703125,156.25,-3,781.25,937.5
2011/04/07 13:31:23.426,gt10.1c,eSpeed,SELL,1,-1,100.59375,100.5859375,78.125,-4,-468.75,-390.625
2011/04/07 13:31:23.426,gt10.1c,eSpeed,SELL,1,-1,100.59375,100.5859375,78.125,-5,-0.0,78.125
2011/04/07 13:31:23.442,gt10.1c,eSpeed,SELL,2,-2,100.59375,100.6015625,-156.25,-7,-781.25,-937.5
2011/04/07 13:31:24.614,gt10.1c,eSpeed,BUY,1,1,100.609375,100.6015625,-78.125,-6,-0.0,-78.125
2011/04/07 13:31:24.739,gt10.1c,eSpeed,BUY,1,1,100.609375,100.6015625,-78.125,-5,-0.0,-78.125
2011/04/07 13:31:24.754,gt10.1c,eSpeed,BUY,1,1,100.609375,100.6015625,-78.125,-4,-0.0,-78.125
2011/04/07 13:31:47.316,gt10.1c,eSpeed,SELL,1,-1,100.625,100.6171875,78.125,-5,-625.0,-546.875
2011/04/07 13:53:25.963,gt10.1c,eSpeed,SELL,3,-3,100.625,100.6171875,234.375,-8,-0.0,234.375
