,1,2,3,4,5,6
1,21350.43263,23235.43263,NA,NA,NA,NA
2,17327.38401,17327.38401,13996.38783,16242.56365,19047.8953,16975.36287
3,28236.86827,28236.86827,26889.35331,NA,NA,NA
4,35701.17332,35701.17332,27243.9003,17576.26757,NA,NA
5,-27516.6612,-27516.6612,-14699.26397,-22132.72594,NA,NA
