date,pnl,position
2003/12/31,-3780.000000,14.000000
2004/01/05,17640.000000,14.000000
2004/01/06,-1120.000000,14.000000
2004/01/07,-1120.000000,14.000000
2004/01/08,5040.000000,14.000000
2004/01/09,4620.000000,14.000000
2004/01/12,5740.000000,14.000000
2004/01/13,-4060.000000,14.000000
2004/01/14,980.000000,14.000000
2004/01/15,-14840.000000,14.000000
2004/01/16,20580.000000,14.000000
2004/01/20,12180.000000,14.000000
2004/01/21,-4060.000000,14.000000
2004/01/22,4900.000000,14.000000
2004/01/23,140.000000,14.000000
2004/01/26,-6580.000000,14.000000
2004/01/27,-4900.000000,14.000000
2004/01/28,-7000.000000,14.000000
2004/01/29,-11340.000000,14.000000
2004/01/30,3360.000000,14.000000
2004/02/02,27020.000000,14.000000
2004/02/03,-12320.000000,14.000000
2004/02/04,-14000.000000,14.000000
2004/02/05,-10500.000000,0.000000
2004/02/06,0.000000,0.000000
2004/02/09,0.000000,0.000000
2004/02/10,0.000000,0.000000
2004/02/11,0.000000,0.000000
2004/02/12,0.000000,0.000000
2004/02/13,0.000000,0.000000
2004/02/17,2520.000000,12.000000
2004/02/18,-4560.000000,12.000000
2004/02/19,1920.000000,12.000000
2004/02/20,-4560.000000,12.000000
2004/02/23,1080.000000,12.000000
2004/02/24,2760.000000,12.000000
2004/02/25,13200.000000,12.000000
2004/02/26,-2040.000000,12.000000
2004/02/27,7800.000000,12.000000
2004/03/01,8400.000000,12.000000
2004/03/02,-2400.000000,12.000000
2004/03/03,-10320.000000,12.000000
2004/03/04,10080.000000,12.000000
2004/03/05,7440.000000,12.000000
2004/03/08,-8280.000000,12.000000
2004/03/09,-3480.000000,12.000000
2004/03/10,-2160.000000,12.000000
2004/03/11,8160.000000,12.000000
2004/03/12,-7080.000000,12.000000
2004/03/15,15000.000000,12.000000
2004/03/16,480.000000,12.000000
2004/03/17,8400.000000,12.000000
2004/03/18,-2760.000000,12.000000
2004/03/19,2760.000000,12.000000
2004/03/22,-6840.000000,12.000000
2004/03/23,4800.000000,12.000000
2004/03/24,-5280.000000,12.000000
2004/03/25,-18000.000000,12.000000
2004/03/26,2640.000000,12.000000
2004/03/29,-3360.000000,12.000000
2004/03/30,9600.000000,12.000000
2004/03/31,-5880.000000,12.000000
2004/04/01,-12240.000000,0.000000
2004/04/02,0.000000,0.000000
2004/04/05,0.000000,0.000000
2004/04/06,0.000000,0.000000
2004/04/07,0.000000,0.000000
2004/04/08,0.000000,0.000000
2004/04/12,480.000000,12.000000
2004/04/13,-7560.000000,12.000000
2004/04/14,-5880.000000,12.000000
2004/04/15,10200.000000,12.000000
2004/04/16,-1320.000000,12.000000
2004/04/19,-2880.000000,12.000000
2004/04/20,-3000.000000,12.000000
2004/04/21,-9240.000000,12.000000
2004/04/22,11760.000000,12.000000
2004/04/23,-3000.000000,12.000000
2004/04/26,6120.000000,12.000000
2004/04/27,6720.000000,12.000000
2004/04/28,-840.000000,12.000000
2004/04/29,-1800.000000,12.000000
2004/04/30,840.000000,12.000000
2004/05/03,9960.000000,12.000000
2004/05/04,9240.000000,12.000000
2004/05/05,7080.000000,12.000000
2004/05/06,-2400.000000,12.000000
2004/05/07,6720.000000,12.000000
2004/05/10,-12000.000000,12.000000
2004/05/11,13560.000000,12.000000
2004/05/12,8520.000000,12.000000
2004/05/13,3720.000000,12.000000
2004/05/14,3600.000000,12.000000
2004/05/17,2160.000000,12.000000
2004/05/18,-12720.000000,12.000000
2004/05/19,13200.000000,12.000000
2004/05/20,-8640.000000,12.000000
2004/05/21,-10440.000000,12.000000
2004/05/24,21480.000000,12.000000
2004/05/25,-6960.000000,12.000000
2004/05/26,-5280.000000,12.000000
2004/05/27,-15120.000000,12.000000
2004/05/28,5280.000000,12.000000
2004/06/01,29400.000000,12.000000
2004/06/02,-28440.000000,12.000000
2004/06/03,-17280.000000,0.000000
2004/06/04,0.000000,0.000000
2004/06/07,0.000000,0.000000
2004/06/08,0.000000,0.000000
2004/06/09,0.000000,0.000000
2004/06/10,0.000000,0.000000
