Date,fncl_4.5_1n_spread_duration:jpmorgan,fncl_5.0_1n_spread_duration:jpmorgan,fncl_5.5_1n_spread_duration:jpmorgan,fncl_6.0_1n_spread_duration:jpmorgan,fncl_6.5_1n_spread_duration:jpmorgan,fncl_7.0_1n_spread_duration:jpmorgan,fncl_7.5_1n_spread_duration:jpmorgan,fncl_8.0_1n_spread_duration:jpmorgan,fncl_8.5_1n_spread_duration:jpmorgan
2004-03-08 15:00:00,5.74576,5.03141,4.10499,3.04041,2.44096,2.55069,2.37834,1.91982,2.10858
2004-03-09 15:00:00,5.69091,4.95339,4.01717,2.9706,2.39171,2.51784,2.3577,1.90594,2.09884
2004-03-10 15:00:00,5.59509,4.84898,3.95849,2.99532,2.45382,2.57658,2.41092,1.95284,2.13578
2004-03-11 15:00:00,5.59695,4.84379,3.95313,2.9933,2.45203,2.57648,2.41178,1.95422,2.1368
2004-03-12 15:00:00,5.65354,4.92294,4.04462,3.06777,2.50441,2.61219,2.43583,1.97263,2.15026
2004-03-15 15:00:00,5.66434,4.94699,4.08141,3.10189,2.52943,2.63,2.4485,1.98355,2.15833
2004-03-16 15:00:00,5.53809,4.76934,3.88406,2.9392,2.40581,2.54445,2.39149,1.94118,2.12798
2004-03-17 15:00:00,5.41853,4.66068,3.79533,2.89052,2.38058,2.52721,2.38094,1.936,2.12353
2004-03-18 15:00:00,5.52727,4.81851,3.97213,3.03606,2.49279,2.6024,2.43151,1.97337,2.15053
2004-03-19 15:00:00,5.59834,4.91124,4.07047,3.11376,2.54934,2.64084,2.45577,1.9903,2.16232
2004-03-22 15:00:00,5.51489,4.79643,3.9467,3.0136,2.47283,2.58789,2.42078,1.96505,2.14441
2004-03-23 15:00:00,5.49228,4.76809,3.91615,2.98948,2.45237,2.5746,2.41127,1.95774,2.13893
2004-03-24 15:00:00,5.48413,4.75825,3.90396,2.97661,2.44237,2.56885,2.40763,1.95506,2.13745
2004-03-25 15:00:00,5.52833,5.12555,3.99571,3.05679,2.50347,2.60936,2.43431,1.97439,2.15193
2004-03-26 15:00:00,5.65794,5.31679,4.22089,3.25432,2.65959,2.71446,2.50436,2.02713,2.19016
2004-03-29 15:00:00,5.68922,5.3738,4.2965,3.32448,2.71912,2.75546,2.53172,2.04683,2.2039
2004-03-30 15:00:00,5.71059,5.39747,4.31557,3.33602,2.72607,2.75961,2.53349,2.0472,2.20381
2004-03-31 15:00:00,5.6563,5.31694,4.21877,3.25371,2.65891,2.71508,2.50324,2.02574,2.18858
2004-04-01 15:00:00,5.75425,5.41766,4.268,3.23951,2.62866,2.69477,2.4883,2.01122,2.1793
2004-04-02 15:00:00,5.86973,5.63114,4.61228,3.58805,2.92841,2.91037,2.64695,2.13811,2.27416
2004-04-05 15:00:00,5.9713,5.76356,4.77124,3.73172,3.05256,3.00075,2.70963,2.18466,2.30601
2004-04-06 15:00:00,5.95715,5.7255,4.6932,3.63899,2.96561,2.93725,2.66253,2.14675,2.27787
2004-04-07 15:00:00,5.92463,5.68042,4.63082,3.5743,2.90972,2.89932,2.6358,2.12698,2.26237
2004-04-08 15:00:00,5.95056,5.71643,4.67972,3.61985,2.94971,2.92841,2.6559,2.14249,2.27462
2004-04-09 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004-04-12 15:00:00,5.95822,5.73405,4.79491,3.82044,3.16217,3.0787,2.76592,2.23046,2.34032
2004-04-13 15:00:00,6.04153,5.8514,4.95873,3.99294,3.31757,3.19112,2.84878,2.29577,2.38877
2004-04-14 15:00:00,6.05031,5.86043,4.97992,4.02642,3.35205,3.21615,2.86794,2.31291,2.40667
2004-04-15 15:00:00,6.07391,5.88935,5.0098,4.05777,3.37848,3.23486,2.88112,2.32218,2.41297
2004-04-16 15:00:00,6.05853,5.85804,4.95342,3.98713,3.30485,3.17894,2.83793,2.28548,2.38759
2004-04-19 15:00:00,6.06072,5.86561,4.97196,4.00877,3.32645,3.19396,2.84907,2.29435,2.39347
2004-04-20 15:00:00,6.07788,5.89714,5.02431,4.07216,3.38938,3.23854,2.88187,2.31935,2.41051
2004-04-21 15:00:00,6.07575,5.89981,5.03747,4.0979,3.42032,3.26168,2.89972,2.33528,2.42069
2004-04-22 15:00:00,6.06489,5.87129,4.98475,4.02636,3.34537,3.20236,2.85161,2.29286,2.38936
2004-04-23 15:00:00,6.08616,5.91219,5.05704,4.11494,3.43636,3.27044,2.9028,2.33497,2.41832
2004-04-26 15:00:00,6.10362,5.92706,5.06969,4.12346,3.44724,3.27839,2.90971,2.3408,2.42184
2004-04-27 15:00:00,6.10985,5.92638,5.34612,4.0959,3.41586,3.25149,2.89121,2.3256,2.41193
2004-04-28 15:00:00,6.14126,5.96864,5.41182,4.17263,3.49218,3.30919,2.93484,2.36034,2.43718
2004-04-29 15:00:00,6.18877,6.0423,5.52006,4.29449,3.61407,3.40434,3.00929,2.42116,2.48296
2004-04-30 15:00:00,6.18741,6.03541,5.50609,4.27719,3.59399,3.3859,2.99168,2.40454,2.47108
2004-05-03 15:00:00,6.25874,6.05645,5.54215,4.24403,3.53159,3.33447,2.94537,2.36476,2.44437
2004-05-04 15:00:00,6.27478,6.08301,5.58111,4.2972,3.59087,3.38229,2.98305,2.39542,2.46794
2004-05-05 15:00:00,6.30063,6.12912,5.65027,4.37856,3.67961,3.45507,3.04323,2.44768,2.50916
2004-05-06 15:00:00,6.30509,6.14509,5.68009,4.42099,3.7305,3.5015,3.08313,2.48297,2.53448
2004-05-07 15:00:00,6.33849,6.21982,5.80306,4.58022,3.90083,3.63032,3.18554,2.56734,2.59764
2004-05-10 15:00:00,6.34271,6.2142,5.809,4.70549,4.0484,3.7263,3.25706,2.62835,2.64157
2004-05-11 15:00:00,6.33163,6.19727,5.78518,4.66072,3.99009,3.67444,3.21166,2.58799,2.61059
2004-05-12 15:00:00,6.33103,6.19403,5.7818,4.65159,3.97785,3.66514,3.20367,2.58111,2.6068
2004-05-13 15:00:00,6.33775,6.21114,5.81108,4.69677,4.0312,3.71023,3.24185,2.61619,2.63427
2004-05-14 15:00:00,6.30096,6.1494,5.73124,4.59917,3.92374,3.62463,3.17455,2.55935,2.59254
2004-05-17 15:00:00,6.27237,6.09819,5.65549,4.51172,3.83139,3.55135,3.1166,2.50948,2.5564
2004-05-18 15:00:00,6.28821,6.11908,5.68784,4.55738,3.88204,3.58821,3.14668,2.53418,2.5734
2004-05-19 15:00:00,6.31601,6.1617,5.7493,4.64146,3.98398,3.67004,3.21287,2.59086,2.61574
2004-05-20 15:00:00,6.29362,6.122,5.69321,4.56979,3.90555,3.60657,3.15924,2.54541,2.58191
2004-05-21 15:00:00,6.27844,6.11328,5.69177,4.58026,3.91919,3.61933,3.17041,2.55647,2.58967
2004-05-24 15:00:00,6.26663,6.09447,5.66818,4.55706,3.89513,3.59968,3.15445,2.54346,2.57978
2004-05-25 15:00:00,6.26266,6.08728,5.65838,4.54856,3.88891,3.59253,3.14825,2.53798,2.57571
2004-05-26 15:00:00,6.24996,6.06278,5.619,4.49942,3.83662,3.54642,3.11082,2.50501,2.55261
2004-05-27 15:00:00,6.22381,6.01729,5.54294,4.40371,3.73124,3.46041,3.04108,2.44492,2.50681
2004-05-28 15:00:00,6.2591,6.07089,5.6164,4.4861,3.81605,3.52133,3.08711,2.48042,2.53156
