Date,ed_red_pack_1c_price_mid:test
2005-08-16 15:00:00,95.5225
2005-08-17 15:00:00,95.48
2005-08-18 15:00:00,95.5525
2005-08-19 15:00:00,95.54125
2005-08-22 15:00:00,95.55
2005-08-23 15:00:00,95.59
2005-08-24 15:00:00,95.58125
2005-08-25 15:00:00,95.5825
2005-08-26 15:00:00,95.50125
2005-08-29 15:00:00,95.50875
2005-08-30 15:00:00,95.6675
2005-08-31 15:00:00,95.79
2005-09-01 15:00:00,95.8625
2005-09-02 15:00:00,95.84125
2005-09-06 15:00:00,95.77
2005-09-07 15:00:00,95.7125
2005-09-08 15:00:00,95.7075
2005-09-09 15:00:00,95.71
2005-09-12 15:00:00,95.6725
2005-09-13 15:00:00,95.7275
2005-09-14 15:00:00,95.70375
2005-09-15 15:00:00,95.665
2005-09-16 15:00:00,95.6
2005-09-19 15:00:00,95.63875
2005-09-20 15:00:00,95.5925
2005-09-21 15:00:00,95.64375
2005-09-22 15:00:00,95.6625
2005-09-23 15:00:00,95.57375
2005-09-26 15:00:00,95.5275
2005-09-27 15:00:00,95.50125
2005-09-28 15:00:00,95.5175
2005-09-29 15:00:00,95.48375
2005-09-30 15:00:00,95.42
2005-10-03 15:00:00,95.3625
2005-10-04 15:00:00,95.3675
2005-10-05 15:00:00,95.37875
2005-10-06 15:00:00,95.40125
2005-10-07 15:00:00,95.39625
2005-10-11 15:00:00,95.365
2005-10-12 15:00:00,95.32875
2005-10-13 15:00:00,95.31625
2005-10-14 15:00:00,95.28125
2005-10-17 15:00:00,95.2775
2005-10-18 15:00:00,95.30125
2005-10-19 15:00:00,95.33
2005-10-20 15:00:00,95.31375
2005-10-21 15:00:00,95.3775
2005-10-24 15:00:00,95.33125
2005-10-25 15:00:00,95.265
2005-10-26 15:00:00,95.18125
2005-10-27 15:00:00,95.205
2005-10-28 15:00:00,95.1825
2005-10-31 15:00:00,95.16875
2005-11-01 15:00:00,95.13625
2005-11-02 15:00:00,95.11875
2005-11-03 15:00:00,95.05625
2005-11-04 15:00:00,95.0575
2005-11-07 15:00:00,95.06875
2005-11-08 15:00:00,95.13625
2005-11-09 15:00:00,95.07125
2005-11-10 15:00:00,95.135
2005-11-14 15:00:00,95.075
2005-11-15 15:00:00,95.1125
2005-11-16 15:00:00,95.19125
2005-11-17 15:00:00,95.2675
2005-11-18 15:00:00,95.225
2005-11-21 15:00:00,95.2725
2005-11-22 15:00:00,95.34625
2005-11-23 15:00:00,95.2925
2005-11-25 15:00:00,95.3275
2005-11-28 15:00:00,95.33625
2005-11-29 15:00:00,95.2475
2005-11-30 15:00:00,95.20875
2005-12-01 15:00:00,95.16875
2005-12-02 15:00:00,95.16625
2005-12-05 15:00:00,95.1225
2005-12-06 15:00:00,95.1875
2005-12-07 15:00:00,95.17375
2005-12-08 15:00:00,95.25125
2005-12-09 15:00:00,95.1625
2005-12-12 15:00:00,95.14875
2005-12-13 15:00:00,95.17375
2005-12-14 15:00:00,95.265
2005-12-15 15:00:00,95.24875
2005-12-16 15:00:00,95.26375
2005-12-19 15:00:00,95.25625
2005-12-20 15:00:00,95.20375
2005-12-21 15:00:00,95.1675
2005-12-22 15:00:00,95.22125
2005-12-23 15:00:00,95.28125
2005-12-27 15:00:00,95.32875
2005-12-28 15:00:00,95.28875
2005-12-29 15:00:00,95.27375
2005-12-30 15:00:00,95.25875
