Date,ed.2c_price_mid:test
2005-01-03 15:00:00,96.095
2005-01-04 15:00:00,96.02
2005-01-05 15:00:00,96.015
2005-01-06 15:00:00,96.055
2005-01-07 15:00:00,96.025
2005-01-10 15:00:00,96.015
2005-01-11 15:00:00,96.005
2005-01-12 15:00:00,96.005
2005-01-13 15:00:00,96.03
2005-01-14 15:00:00,96
2005-01-18 15:00:00,95.99
2005-01-19 15:00:00,95.99
2005-01-20 15:00:00,96.025
2005-01-21 15:00:00,96.07
2005-01-24 15:00:00,96.06
2005-01-25 15:00:00,96.045
2005-01-26 15:00:00,96.025
2005-01-27 15:00:00,96.015
2005-01-28 15:00:00,96.05
2005-01-31 15:00:00,96.02
2005-02-01 15:00:00,96.02
2005-02-02 15:00:00,95.99
2005-02-03 15:00:00,95.975
2005-02-04 15:00:00,96.01
2005-02-07 15:00:00,95.985
2005-02-08 15:00:00,95.985
2005-02-09 15:00:00,96.03
2005-02-10 15:00:00,96.01
2005-02-11 15:00:00,95.975
2005-02-14 15:00:00,95.955
2005-02-15 15:00:00,95.955
2005-02-16 15:00:00,95.91
2005-02-17 15:00:00,95.93
2005-02-18 15:00:00,95.89
2005-02-22 15:00:00,95.885
2005-02-23 15:00:00,95.885
2005-02-24 15:00:00,95.87
2005-02-25 15:00:00,95.86
2005-02-28 15:00:00,95.835
2005-03-01 15:00:00,95.835
2005-03-02 15:00:00,95.85
2005-03-03 15:00:00,95.85
2005-03-04 15:00:00,95.86
2005-03-07 15:00:00,95.86
2005-03-08 15:00:00,95.85
2005-03-09 15:00:00,95.815
2005-03-10 15:00:00,95.81
2005-03-11 15:00:00,95.77
2005-03-14 15:00:00,95.75
2005-03-15 15:00:00,95.74
2005-03-16 15:00:00,95.745
2005-03-17 15:00:00,95.78
2005-03-18 15:00:00,95.77
2005-03-21 15:00:00,95.75
2005-03-22 15:00:00,95.665
2005-03-23 15:00:00,95.635
2005-03-24 15:00:00,95.63
2005-03-28 15:00:00,95.61
2005-03-29 15:00:00,95.625
2005-03-30 15:00:00,95.63
2005-03-31 15:00:00,95.68
2005-04-01 15:00:00,95.735
2005-04-04 15:00:00,95.715
2005-04-05 15:00:00,95.71
2005-04-06 15:00:00,95.74
2005-04-07 15:00:00,95.735
2005-04-08 15:00:00,95.715
2005-04-11 15:00:00,95.715
2005-04-12 15:00:00,95.735
2005-04-13 15:00:00,95.8
2005-04-14 15:00:00,95.865
2005-04-15 15:00:00,95.955
2005-04-18 15:00:00,95.98
2005-04-19 15:00:00,96.03
2005-04-20 15:00:00,96.01
2005-04-21 15:00:00,95.9
2005-04-22 15:00:00,95.915
2005-04-25 15:00:00,95.895
2005-04-26 15:00:00,95.88
