Date,fncl_4.5_1n_partial_duration_30y:internal,fncl_5.0_1n_partial_duration_30y:internal,fncl_5.5_1n_partial_duration_30y:internal,fncl_6.0_1n_partial_duration_30y:internal,fncl_6.5_1n_partial_duration_30y:internal,fncl_7.0_1n_partial_duration_30y:internal,fncl_7.5_1n_partial_duration_30y:internal,fncl_8.0_1n_partial_duration_30y:internal,fncl_8.5_1n_partial_duration_30y:internal
"2007-03-15 15:00:00",0.89971,0.82426,0.60099,0.35157,0.24289,0.17339,0.13774,0.06615,0.06922
"2007-03-16 15:00:00",0.90791,0.83237,0.60708,0.35565,0.24455,0.17456,0.13932,0.06551,0.06981
"2007-03-19 15:00:00",0.92171,0.8497,0.62059,0.36606,0.25297,0.18013,0.14152,0.06633,0.07041
"2007-03-20 15:00:00",0.9148,0.8383,0.60985,0.3557,0.24488,0.17523,0.14018,0.06569,0.06996
"2007-03-21 15:00:00",0.90407,0.8271,0.59975,0.34591,0.23932,0.17295,0.14089,0.06609,0.07114
"2007-03-22 15:00:00",0.94333,0.87679,0.64446,0.38252,0.26624,0.1923,0.1495,0.07063,0.07473
"2007-03-23 15:00:00",0.95537,0.8949,0.66035,0.39719,0.27796,0.20128,0.1538,0.07207,0.07637
"2007-03-26 15:00:00",0.95167,0.88803,0.65467,0.39266,0.27626,0.20027,0.15311,0.07154,0.07649
"2007-03-27 15:00:00",0.97158,0.9159,0.67994,0.41193,0.29118,0.21179,0.15838,0.07401,0.07861
"2007-03-28 15:00:00",0.99483,0.94748,0.70849,0.4337,0.30814,0.22391,0.16422,0.07649,0.0813
"2007-03-29 15:00:00",0.9971,0.9499,0.70904,0.43394,0.30795,0.22388,0.16437,0.07585,0.08136
"2007-03-30 15:00:00",1.01778,0.95997,0.71807,0.44487,0.29558,0.22207,0.16413,0.08185,0.08759
"2007-04-02 15:00:00",0.97537,0.93105,0.70623,0.43205,0.30381,0.22051,0.16272,0.0751,0.07947
"2007-04-03 15:00:00",0.97607,0.93101,0.70589,0.43199,0.30474,0.22159,0.16338,0.07496,0.07951
"2007-04-04 15:00:00",0.98129,0.93715,0.71137,0.43603,0.3083,0.22469,0.16506,0.07585,0.08008
"2007-04-05 15:00:00",0.99425,0.95454,0.72627,0.44751,0.31742,0.23153,0.16835,0.07676,0.08169
"2007-04-06 15:00:00",1.01701,0.99006,0.76162,0.47695,0.33877,0.24685,0.17429,0.07922,0.08281
"2007-04-09 15:00:00",1.04238,1.01527,0.78129,0.49186,0.3538,0.26194,0.18035,0.08279,0.08659
"2007-04-10 15:00:00",1.04269,1.0138,0.7782,0.48889,0.35196,0.26021,0.18104,0.08215,0.08661
"2007-04-11 15:00:00",1.03758,1.01038,0.77758,0.48819,0.35241,0.26144,0.18228,0.08255,0.08719
