Date,fncl_4.5_1n_partial_duration_5y:internal,fncl_5.0_1n_partial_duration_5y:internal,fncl_5.5_1n_partial_duration_5y:internal,fncl_6.0_1n_partial_duration_5y:internal,fncl_6.5_1n_partial_duration_5y:internal,fncl_7.0_1n_partial_duration_5y:internal,fncl_7.5_1n_partial_duration_5y:internal,fncl_8.0_1n_partial_duration_5y:internal,fncl_8.5_1n_partial_duration_5y:internal
"2007-01-02 15:00:00",1.44322,1.34256,1.10557,0.58545,0.25071,0.12935,0.45946,0.23455,0.29316
"2007-01-03 15:00:00",1.43991,1.31882,1.06546,0.52986,0.20301,0.11185,0.45536,0.23732,0.30656
"2007-01-04 15:00:00",1.42867,1.27483,1.00012,0.45209,0.1558,0.09358,0.44623,0.24619,0.32726
"2007-01-05 15:00:00",1.41519,1.27483,1.01003,0.46848,0.17024,0.09754,0.44909,0.24373,0.32466
"2007-01-08 15:00:00",1.4254,1.29586,1.03697,0.50444,0.1995,0.11429,0.4737,0.25631,0.33744
"2007-01-09 15:00:00",1.42475,1.34946,1.04755,0.46602,0.206,0.11434,0.47272,0.25709,0.33922
"2007-01-10 15:00:00",1.41192,1.35799,1.07669,0.51279,0.24197,0.12379,0.47806,0.25608,0.33068
"2007-01-11 15:00:00",1.40466,1.38056,1.12442,0.58308,0.29239,0.14871,0.49063,0.25829,0.32124
"2007-01-12 15:00:00",1.39209,1.38615,1.14609,0.60913,0.30748,0.15453,0.49277,0.25528,0.31384
"2007-01-16 15:00:00",1.39072,1.38374,1.13985,0.5936,0.29361,0.14721,0.48875,0.27466,0.44197
"2007-01-17 15:00:00",1.38512,1.40262,1.18238,0.65325,0.33566,0.16319,0.49306,0.27278,0.43931
"2007-01-18 15:00:00",1.38767,1.39156,1.1575,0.61593,0.31003,0.15384,0.49036,0.27571,0.44528
"2007-01-19 15:00:00",1.38536,1.39614,1.17215,0.6482,0.338,0.17076,0.49408,0.27883,0.4455
"2007-01-22 15:00:00",1.38805,1.3948,1.16296,0.63303,0.32933,0.16574,0.49519,0.28374,0.45261
"2007-01-23 15:00:00",1.23318,1.39545,1.32546,0.92116,0.6481,0.30743,0.75694,0.73366,0.92768
"2007-01-24 15:00:00",1.3703,1.40927,1.21935,0.71721,0.3958,0.20383,0.51542,0.29471,0.45055
