,1,2,3,4,5,6
1,-1885,23235.43263,0,0,0,0
2,0,3330.99618,-2246.175821,-2805.331649,2072.532433,16975.36287
3,0,1347.514959,26889.35331,0,0,0
4,0,8457.27302,9667.632731,17576.26757,0,0
5,0,-12817.39723,7433.461966,-22132.72594,0,0
