Date,ed200803_price_mid:test,ed200806_price_mid:test,ed200809_price_mid:test,ed200812_price_mid:test
2008-01-02 15:00:00,NA,96.4,96.675,96.8
2008-01-03 15:00:00,NA,96.425,96.69,96.815
2008-01-04 15:00:00,NA,96.52,96.79,96.92
2008-01-07 15:00:00,NA,96.515,96.765,96.885
2008-01-08 15:00:00,NA,96.54,96.78,96.885
2008-01-09 15:00:00,NA,96.625,96.85,96.94
2008-01-10 15:00:00,NA,96.69,96.88,96.94
2008-01-11 15:00:00,NA,NA,97.045,97.1
2008-01-14 15:00:00,NA,NA,97.09,97.135
2008-01-15 15:00:00,NA,NA,97.11,97.175
2008-01-16 15:00:00,NA,NA,97.105,97.18
2008-01-17 15:00:00,NA,NA,97.21,97.28
2008-01-18 15:00:00,NA,NA,97.29,97.34
2008-01-22 15:00:00,NA,NA,97.63,97.62
2008-01-23 15:00:00,NA,NA,97.675,97.68
2008-01-24 15:00:00,NA,NA,97.395,97.375
2008-01-25 15:00:00,NA,NA,97.43,97.39
2008-01-28 15:00:00,NA,NA,97.485,97.415
2008-01-29 15:00:00,NA,NA,97.41,97.325
2008-01-30 15:00:00,NA,NA,97.47,97.35
2008-01-31 15:00:00,NA,NA,97.555,97.435
2008-02-01 15:00:00,NA,NA,97.525,97.48
2008-02-04 15:00:00,NA,NA,97.525,97.5
2008-02-05 15:00:00,NA,NA,97.67,97.625
2008-02-06 15:00:00,NA,NA,97.67,97.625
2008-02-07 15:00:00,NA,NA,97.645,97.595
2008-02-08 15:00:00,NA,NA,97.69,97.645
2008-02-11 15:00:00,NA,NA,97.675,97.635
2008-02-12 15:00:00,NA,NA,97.68,NA
2008-02-13 15:00:00,NA,NA,97.7,NA
2008-02-14 15:00:00,NA,NA,97.68,NA
2008-02-15 15:00:00,NA,NA,97.675,NA
2008-02-19 15:00:00,NA,NA,97.495,NA
2008-02-20 15:00:00,NA,NA,97.415,NA
2008-02-21 15:00:00,NA,NA,97.56,NA
2008-02-22 15:00:00,NA,NA,97.48,NA
2008-02-25 15:00:00,NA,NA,97.4,NA
2008-02-26 15:00:00,NA,NA,97.515,NA
2008-02-27 15:00:00,NA,NA,97.575,NA
2008-02-28 15:00:00,NA,NA,97.625,NA
2008-02-29 15:00:00,NA,NA,97.785,NA
