Date,fncl_-3_45d_performance:TBAPerformance,fncl_-2.5_45d_performance:TBAPerformance,fncl_-2_45d_performance:TBAPerformance,fncl_-1.5_45d_performance:TBAPerformance,fncl_-1_45d_performance:TBAPerformance,fncl_-0.5_45d_performance:TBAPerformance,fncl_0_45d_performance:TBAPerformance,fncl_0.5_45d_performance:TBAPerformance,fncl_1_45d_performance:TBAPerformance,fncl_1.5_45d_performance:TBAPerformance,fncl_2_45d_performance:TBAPerformance,fncl_2.5_45d_performance:TBAPerformance,fncl_3_45d_performance:TBAPerformance
2007-01-04 15:00:00,NA,NA,NA,NA,0.103576878868476,0.0804416271955003,0.0327981156199033,0.00919632565635188,-0.0197209053871403,NA,NA,NA,NA
2007-01-05 15:00:00,NA,NA,NA,NA,0.0263542867010541,0.047539656630513,0.0416250006653694,0.0272970882672524,0.0124459789142764,NA,NA,NA,NA
2007-01-08 15:00:00,NA,NA,NA,NA,-0.0508531965582525,-0.0443386383294193,-0.0501034271876548,-0.0598809660764525,-0.0270651366777653,NA,NA,NA,NA
2007-01-09 15:00:00,NA,NA,NA,NA,0.0171333101227172,0.0197664228922670,0.0173015133294926,0.00233680921746369,-0.00324746137607028,NA,NA,NA,NA
2007-01-10 15:00:00,NA,NA,NA,NA,-0.0444225836941133,-0.0234558470869121,-0.0177125148860205,-0.0244904374829177,-0.00870885205187297,NA,NA,NA,NA
2007-01-11 15:00:00,NA,NA,NA,NA,0.0223903219855959,-0.00198729312751069,-0.00330706885227616,0.000968440216091314,0.00924753287253842,NA,NA,NA,NA
2007-01-12 15:00:00,NA,NA,NA,NA,0.0724632221043694,0.0646313338447554,0.055745189816184,0.0482838827505329,0.0327435959639147,NA,NA,NA,NA
2007-01-16 15:00:00,NA,NA,NA,NA,-0.0747192339749156,-0.0447702885646001,-0.0159723093480948,0.00479995509072018,-0.00183855528372199,NA,NA,NA,NA
2007-01-17 15:00:00,NA,NA,NA,NA,0.004302469982181,0.0198921651139634,0.0128960437755973,0.0155809357617877,0.0198551387403234,NA,NA,NA,NA
2007-01-18 15:00:00,NA,NA,NA,NA,-0.0334099699909296,-0.0490170759251048,-0.0307487158237345,-0.0197231004238531,-0.0290377499563642,NA,NA,NA,NA
2007-01-19 15:00:00,NA,NA,NA,NA,-0.00971156159856377,-0.000454162782356574,-0.00898070573496575,-0.0122650079261209,-0.0060291350240201,NA,NA,NA,NA
2007-01-22 15:00:00,NA,NA,NA,NA,-0.0580183980695477,-0.0411799467871442,-0.0177193457471989,-0.00954939843191764,-0.00644758684392926,NA,NA,NA,NA
2007-01-23 15:00:00,NA,NA,NA,NA,-0.0462136737805616,-0.0344371915240433,-0.0349675184965035,-0.0144015082762797,-0.00433595467964934,NA,NA,NA,NA
2007-01-24 15:00:00,NA,NA,NA,NA,-0.0110041371903062,-0.0206651990824217,-0.0142945816485757,-0.00796135237726475,-0.00255306430335663,NA,NA,NA,NA
2007-01-25 15:00:00,NA,NA,NA,NA,-0.0805792996208235,-0.057438673152056,-0.0467150733261414,-0.00495825438535375,0.0164162308328511,NA,NA,NA,NA
2007-01-26 15:00:00,NA,NA,NA,NA,0.0470381979050237,0.0227649048377054,0.0211263060294882,0.0292497371960734,0.0344882704393403,NA,NA,NA,NA
2007-01-29 15:00:00,NA,NA,NA,NA,0.053884478288884,0.0290019500156644,0.0143977501675657,0.0151182450573393,0.0146137822084983,NA,NA,NA,NA
2007-01-30 15:00:00,NA,NA,NA,NA,0.0392624025614172,0.00451077770320212,-0.0149198619101424,-0.0291244120007843,-0.0239254793892217,NA,NA,NA,NA
2007-01-31 15:00:00,NA,NA,NA,NA,0.0866472894553228,0.0772086340311384,0.0522942247248894,0.00330368450470704,-0.0210259503567091,NA,NA,NA,NA
2007-02-01 15:00:00,NA,NA,NA,NA,0.0156569030761999,0.0207503507074610,0.0268181482454420,0.0219350179273422,0.0120596013885784,NA,NA,NA,NA
2007-02-02 15:00:00,NA,NA,NA,NA,0.0546766395394943,0.0486863594042248,0.0473175176040784,0.0289667216560753,0.00757243142110834,NA,NA,NA,NA
2007-02-05 15:00:00,NA,NA,NA,NA,0.0442220217589571,0.0511529861341374,0.0548083406694101,0.0337524502207521,0.0144947320946175,NA,NA,NA,NA
2007-02-06 15:00:00,NA,NA,NA,NA,-0.0352395555635271,-0.0214236154503791,-0.00427222292525313,-0.00271349321855342,-0.00872871345293331,NA,NA,NA,NA
2007-02-07 15:00:00,NA,NA,NA,NA,-0.0771595723936745,-0.087313680860704,-0.086574279741603,-0.0715949901231614,-0.0292778108936111,NA,NA,NA,NA
2007-02-08 15:00:00,NA,NA,NA,NA,-0.0104153856914857,-0.0116962079974985,-0.00987522655885537,0.0142632543195776,0.0422883325991514,NA,NA,NA,NA
2007-02-09 15:00:00,NA,NA,NA,NA,0.0282254680790515,0.0242464437912464,0.00156354147311961,0.00542588443164982,0.0129749731787052,NA,NA,NA,NA
2007-02-12 15:00:00,NA,NA,NA,NA,-0.0654848471680938,-0.0504193166656791,-0.0395406943574085,-0.0260458178879781,-0.013686890038312,NA,NA,NA,NA
2007-02-13 15:00:00,NA,NA,NA,NA,-0.0228950892785913,-0.0271176566070088,-0.0151079435706323,-0.0127624081948464,-0.010718007439254,NA,NA,NA,NA
2007-02-14 15:00:00,NA,NA,NA,NA,0.0628875673181774,0.0335469180291053,0.0184388643526888,-0.00761312245949691,-0.0323042876361072,NA,NA,NA,NA
