Date,fncl_4.5_45d_performance:TBAPerformance,fncl_5.0_45d_performance:TBAPerformance,fncl_5.5_45d_performance:TBAPerformance,fncl_6.0_45d_performance:TBAPerformance,fncl_6.5_45d_performance:TBAPerformance,fncl_7.0_45d_performance:TBAPerformance
2007-01-04 15:00:00,0.106335184814777,0.088628091803076,0.0360746430322011,0.0150407995157686,-0.0224781139941417,-0.00477806541095038
2007-01-05 15:00:00,0.0211603703822373,0.0483142647338439,0.0442645986802068,0.0304647295206028,0.0139042401600695,0.0062804223365417
2007-01-08 15:00:00,-0.0529669773687418,-0.0444321635459435,-0.0440545367329785,-0.0684781447101998,-0.0337653122933951,-0.00671200990003274
2007-01-09 15:00:00,0.0164751675655324,0.0190712308720924,0.021813436910718,0.00401601730405177,-0.00260766999603282,-0.00513134652695539
2007-01-10 15:00:00,-0.0521025940863418,-0.0287358235818171,-0.0126712621131794,-0.028009496123576,-0.0173026049282939,0.00884426740395306
2007-01-11 15:00:00,0.0426917903180177,-0.00477039859526385,0.00173613951878643,-0.0100542248291041,0.0157153304629826,0.000594462057603051
2007-01-12 15:00:00,0.0771396632193976,0.066958827762993,0.0618917624403462,0.0485103805372709,0.0480172840475902,0.0147657362642482
2007-01-16 15:00:00,-0.0908324446516736,-0.0545426597068661,-0.0325335608209928,0.0047652908122976,0.00484336086515409,-0.0102054897287077
2007-01-17 15:00:00,-0.0140785596498936,0.0214959613422558,0.0183919849202299,0.00775517743256997,0.0229010974128329,0.0170059695062153
2007-01-18 15:00:00,-0.0160319737094963,-0.0533165365730341,-0.0440920259786627,-0.0154638988791861,-0.0246020334010744,-0.0341188816079782
2007-01-19 15:00:00,-0.0167661661049235,-0.00285328081480518,0.00187818980878839,-0.0195374073294255,-0.00519499329460776,-0.00684006328918402
2007-01-22 15:00:00,-0.0615977214970052,-0.0542263879330769,-0.0273582740400716,-0.00750766341894046,-0.0117124552280163,-0.000869875110339289
2007-01-23 15:00:00,-0.0687011709026002,-0.0294459452086882,-0.0381588979903986,-0.0325878768301558,-0.000840902133029085,-0.00694202916308881
2007-01-24 15:00:00,0.0141523308411061,-0.0282292260664108,-0.0154859729327978,-0.0134788144776312,-0.00418344623675738,-0.00143671229123172
2007-01-25 15:00:00,-0.110405467288825,-0.0690209587272935,-0.0529502653051294,-0.0442987899057587,0.0102871276409361,0.0187914023551307
2007-01-26 15:00:00,0.113265204319558,0.0238703658983144,0.0223781874314883,0.0206883671948031,0.0322447145123541,0.0352731213578422
2007-01-29 15:00:00,0.0763058669204978,0.0475176110151451,0.0237441687958598,0.0117437037180409,0.0160764933251011,0.0141984249042633
2007-01-30 15:00:00,0.0586199894585415,0.0331566894456637,-0.00452463151222275,-0.0181986949030754,-0.0325705695480561,-0.0211986704821927
2007-01-31 15:00:00,0.0813448676081623,0.0894104143485667,0.0708502106712476,0.0426245854232702,-0.0171866807066245,-0.0230266175702590
2007-02-01 15:00:00,0.0153238327402707,0.0158351621469504,0.0233809570714769,0.0286577311760372,0.0183370252892666,0.0086999273782166
2007-02-02 15:00:00,0.0630478982051892,0.0487365553841768,0.0486507413022068,0.0463714877080963,0.0166166343894748,0.00115483893050417
2007-02-05 15:00:00,0.0412813091137298,0.0470826654073294,0.0551124811745246,0.0545124812267744,0.0135576682063406,0.0154062818390200
2007-02-06 15:00:00,-0.0382298555496267,-0.0314461869529309,-0.00870940339407397,0.00135659732295558,-0.0078766386468431,-0.00980961966245326
2007-02-07 15:00:00,-0.0709367126995492,-0.0856521975641776,-0.0895811841562985,-0.0824706178606116,-0.0567525166611153,0.00821819403376176
2007-02-08 15:00:00,-0.0120808814258264,-0.00812559984622103,-0.0166052136678239,-0.000622588498494878,0.0347288679365032,0.0526813674328077
2007-02-09 15:00:00,0.0214417985592408,0.0341879493466636,0.0155083942042301,-0.0106932353268174,0.0195937252041966,0.0071574455335696
2007-02-12 15:00:00,-0.0765353421219093,-0.0578478041467863,-0.0452854580725966,-0.0355704642615169,-0.0194632951664651,-0.0096947924303244
2007-02-13 15:00:00,-0.00382902528026177,-0.0352513355736107,-0.0218464196802495,-0.0107409032380902,-0.0140724957480232,-0.00854404621996163
2007-02-14 15:00:00,0.0777306329046373,0.0427210144974141,0.0210825184121085,0.0148470598889435,-0.0381286821365346,-0.0243909655088385
2007-02-15 15:00:00,-0.0324549692180530,-0.0323948985425392,-0.0360940495127633,-0.0263583399479451,-0.0369168754165507,-0.00837910302994226
2007-02-16 15:00:00,-0.0805505157994807,-0.059583415525056,-0.0350496681587085,-0.0102377817489328,0.00934311205927738,-0.0119149298993803
2007-02-20 15:00:00,-0.0346636291432091,-0.048941221231995,-0.0307178542506068,-0.0197655312415735,-0.020352718886387,-0.00348591739032591
2007-02-21 15:00:00,0.115348620495553,0.0837513991167616,0.0667923660162627,0.0409807573711497,0.0340606010833262,0.0247995147023014
2007-02-22 15:00:00,0.025294830740973,0.0187095590121986,0.0119980546729128,-0.00608633286512932,0.0132524422731747,0.00722591116309853
2007-02-23 15:00:00,-0.0290136013857463,-0.0242055162717318,-0.0256422751618325,-0.0300223235945069,-0.0542051010706556,0.0167551838512696
2007-02-26 15:00:00,-0.06927906892779,-0.0684862904806667,-0.0735503680539821,-0.0507769280081578,-0.0516394955487771,-0.0495327649307675
2007-02-27 15:00:00,-0.196229850569748,-0.206934457145864,-0.189353549270997,-0.147238341053405,-0.148529689475729,-0.115461694247822
2007-02-28 15:00:00,-0.000936955317238503,0.0153094305847908,0.028306600575749,0.0401211101619551,0.0666224734080827,0.0805315851910961
